"client_id","nombre_app","institucion"
"47aa9e97586847beab9491320e05cdab",CRM-INDH,Instituto Nacional de Derechos Humanos
"485565d518084d1db47ab1852149bf21",SIMPLE,Servicio Nacional del Adulto Mayor
"22f8999f6e544db4809cce0b5c8007e3",Direccion de Vialidad,Dirección de Vialidad
"49c8b832a3594706ae87a1676114ff06",Gestión de Recursos INJUV,Instituto Nacional de la Juventud
"4a94478dd25f4430a0a023b87e11170d",Milicenciamedica.cl,Subsecretaría de Salud Pública
"4a9c2f22f9d047569a0ceafcb9741033",Campus Servicio Civil,Dirección Nacional del Servicio Civil
"4af122e5642f4b3caf3fed256a8c1ad5",SDE,Secretaría General de la Presidencia
"24e11daf6c084639b14ebba7d4908266",Simple,Gobierno Regional del Maule
"4bb573e349504824b5b5a050a83e094d",ChileCompra - Centro de Ayuda,Dirección de Compras y Contratación Pública
"4bea51c8732a4b6d84a0f98b123d07c7",Autentificación de Honorarios Maipu,Municipalidad de Maipú
"4d03d39d09be4f3e8729c63f71edae8f",Dom Digital,Municipalidad de Panguipulli
"4e17c79d1f864b82907e2beea80bb74c",Registro de solicitudes OIRS,Defensoría Penal Pública
"4f22549f9d3a443cb041c0e55395dbf1",Comisaría Virtual,Carabineros de Chile
"4f5940e87bbc4140af83b3f8c6aa4612",Simple,Institución
"500e21ae250c48c8b42452929d53ef90",SIAC,Subsecretaria para las Fuerzas Armadas
"5203dc45b8344a35a122f3446c13331f",SIMPLE,Servicio Agrícola y Ganadero
"5235b9f356954973a226cb6fc12c9d6e",Sistema Alta Dirección Pública,Dirección Nacional del Servicio Civil
"5239be5b1ef54a5098f57f510fb49758",Tribunal Electoral Arica,Tribunal Electoral Región de Arica y Parinacota
"527213d7d4294edebe57db0d54f838f8",Servicio de Salud Metropolitano Sur Oriente,Servicio de Salud Metropolitano Sur
"5511a09519c5433eacb9e5911745d0ff",Portal Paciente Salud 5i,Corporación de Educación y Salud de Las Condes
ebdc01aed2cd4839bad55c99f79a17d7,Concesiones Acuícolas,Subsecretaría para las Fuerzas Armadas
"569c7b3055084660b7d89fe87a1d6d37",SIMPLE - CNR,Comisión Nacional de Riego
"56debc5d602b483e8a14bc5dcb591787",Portal Tu Municipio Municipali,Municipalidad de Mulchén
"56e402379e664e8e960b328f5ad9c21f",Sernatur RNST,Servicio Nacional de Turismo
"585115d181ea4a77bf361f06a32100ea",Senda Moodle,Servicio Nacional de Prevención y Rehabilitación del Consumo de Drogas y Alcohol
"58f532f36df74998b1f0ba5e821bd4f9",sfpp,servicio electoral
"59dd121f53ac44ddb03bf52488eec671",.SCSE.,Subsecretaría de Hacienda
"59eb3d7b277b45e8a38ba66d37469c1d",Certificado Capacitación,Instituto de Salud Pública de Chile
"59f0c030fc0c4d29868b1730c25caf7b",Trámites Pelarco,Municipalidad de Pelarco
"5aa6e3bc0b7f4c63b247ac04ca400129",Sistema de Auditoría Interna,Contraloría General de la República
"5acc0aadea4f473baa44ef5887fad935",SSG,Comision Nacional de Riego
"64b1afe9206b4eb885878aafb4be1dae",SISPUBLI 2.0,Dirección Nacional del Servicio Civil
"5b2dab60a7894c96ac90b92f7c673def",Aula Virtual Registro Civil,Servicio de Registro Civil e Identificación
"5b600ce327ca4aa3bfff3444e5b7cfe2",Registro de Persona Jurídica,Subsecretaría de Pesca y Acuicultura
"5d23a1d87c58425e98816025d8157273",SCJ Single Sign On,Superintendencia de Casinos de Juegos
"5da266ab8604496a91de069694b067aa",aei,Superintendencia de Insolvencia y Reemprendimiento
"5e2119b5bbf846caaae1a57549740519",Cursos CCS,Servicio Nacional de Geología y Minería
"5f686fded1294c02a7a5c3298f2eec5b",Sistema SEIM,Subsecretaría de Transportes
"5fb9916ea3a14aca8505c6606cdd9fea",OIRS CCHEN,Comisión Chilena de Energía Nuclear
"5fc09a074d0d467c9bf0e1f0ee26ec45",Aula Previsional,Subsecretaría de Previsión Social
