institucion,comunidad_modal
MUNICIPALIDAD DE RENGO,4
MUNICIPALIDAD DE REQUINOA,3
MUNICIPALIDAD DE RIO BUENO,4
MUNICIPALIDAD DE RIO CLARO,1
MUNICIPALIDAD DE SAN ANTONIO,4
MUNICIPALIDAD DE SAN CLEMENTE,1
MUNICIPALIDAD DE SAN FERNANDO,1
MUNICIPALIDAD DE SAN JOAQUIN,4
MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,1
MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,4
MUNICIPALIDAD DE SANTA BARBARA,1
MUNICIPALIDAD DE SANTIAGO,4
MUNICIPALIDAD DE SANTO DOMINGO,4
MUNICIPALIDAD DE TALTAL,4
MUNICIPALIDAD DE TEMUCO,4
MUNICIPALIDAD DE TOME,4
MUNICIPALIDAD DE TORRES DEL PAINE,4
MUNICIPALIDAD DE VALDIVIA,4
MUNICIPALIDAD DE VALLENAR,4
MUNICIPALIDAD DE VALPARAISO,1
MUNICIPALIDAD DE VILLA ALEGRE,1
MUNICIPALIDAD DE VILLARRICA,4
MUNICIPALIDAD DE VINA DEL MAR,4
MUNICIPALIDAD DE VITACURA,4
MUNICIPALIDAD DE ZAPALLAR,4
MUNICIPIOS,4
OPTION,4
PARQUE METROPOLITANO DE SANTIAGO,3
PODER JUDICIAL,1
POLICIA DE INVESTIGACIONES DE CHILE,4
PRESIDENCIA DE LA REPUBLICA,4
PRIMER TRIBUNAL AMBIENTAL,4
PRIMER TRIBUNAL ELECTORAL,4
REDIN,2
SANIDAD NAVAL DE LA ARMADA DE CHILE,2
SECRETARIA DE GOBIERNO DIGITAL,1
SEGUNDO TRIBUNAL AMBIENTAL,4
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,4
SENADO,4
SERVICIO AGRICOLA Y GANADERO,4
SERVICIO DE COOPERACION TECNICA,4
SERVICIO DE EVALUACION AMBIENTAL,4
SERVICIO DE IMPUESTOS INTERNOS,1
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,1
SERVICIO DE SALUD ANTOFAGASTA,1
SERVICIO DE SALUD ARAUCANIA SUR,1
SERVICIO DE SALUD ARICA Y PARINACOTA,1
SERVICIO DE SALUD ATACAMA,1
SERVICIO DE SALUD AYSEN,4
SERVICIO DE SALUD BIOBIO,4
SERVICIO DE SALUD COQUIMBO,4
SERVICIO DE SALUD DEL RELONCAVI,1
SERVICIO DE SALUD LIBERTADOR GENERAL BERNARDO O'HIGGINS,1
SERVICIO DE SALUD MAGALLANES,1
SERVICIO DE SALUD MAULE,1
SERVICIO DE SALUD METROPOLITANO ORIENTE,4
SERVICIO DE SALUD METROPOLITANO SUR,0
SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,0
SERVICIO DE SALUD NUBLE,1
SERVICIO DE SALUD OSORNO,1
SERVICIO DE SALUD TARAPACA,1
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,1
SERVICIO DE TESORERIAS,4
SERVICIO ELECTORAL,4
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,3
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,3
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,3
