institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
MUNICIPALIDAD DE ZAPALLAR,0.0,False
MUNICIPIOS,0.0,False
OPTION,0.0,False
PARQUE METROPOLITANO DE SANTIAGO,0.0,False
PODER JUDICIAL,0.0,False
POLICIA DE INVESTIGACIONES DE CHILE,0.0,False
PRESIDENCIA DE LA REPUBLICA,0.0,False
PRIMER TRIBUNAL AMBIENTAL,0.0,False
PRIMER TRIBUNAL ELECTORAL,0.0,False
REDIN,0.0,False
SANIDAD NAVAL DE LA ARMADA DE CHILE,0.0,False
SECRETARIA DE GOBIERNO DIGITAL,0.0,False
SEGUNDO TRIBUNAL AMBIENTAL,0.0,False
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,0.0,False
SENADO,0.0,False
SERVICIO AGRICOLA Y GANADERO,0.0,False
SERVICIO DE COOPERACION TECNICA,0.0,False
SERVICIO DE EVALUACION AMBIENTAL,0.04,False
SERVICIO DE IMPUESTOS INTERNOS,0.0,False
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.0,False
SERVICIO DE SALUD ANTOFAGASTA,0.0,False
SERVICIO DE SALUD ARAUCANIA SUR,0.0,False
SERVICIO DE SALUD ARICA Y PARINACOTA,0.0,False
SERVICIO DE SALUD ATACAMA,0.0,False
SERVICIO DE SALUD AYSEN,0.13,False
SERVICIO DE SALUD BIOBIO,0.0,False
SERVICIO DE SALUD COQUIMBO,0.0,False
SERVICIO DE SALUD DEL RELONCAVI,0.0,False
SERVICIO DE SALUD LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,False
SERVICIO DE SALUD MAGALLANES,0.0,False
SERVICIO DE SALUD MAULE,0.51,True
SERVICIO DE SALUD METROPOLITANO ORIENTE,0.0,False
SERVICIO DE SALUD METROPOLITANO SUR,0.0,False
SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,0.0,False
SERVICIO DE SALUD NUBLE,0.02,False
SERVICIO DE SALUD OSORNO,0.0,False
SERVICIO DE SALUD TARAPACA,0.0,False
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,0.0,False
SERVICIO DE TESORERIAS,0.0,False
SERVICIO ELECTORAL,0.0,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,0.02,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,0.05,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,0.02,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,0.02,False
SERVICIO NACIONAL DE ADUANAS,0.0,False
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,0.0,False
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,0.03,False
SERVICIO NACIONAL DE LA DISCAPACIDAD,0.0,False
SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,0.0,False
SERVICIO NACIONAL DE MENORES,0.0,False
SERVICIO NACIONAL DE MIGRACIONES,0.0,False
SERVICIO NACIONAL DE PESCA Y ACUICULTURA,0.49,True
SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,0.13,False
SERVICIO NACIONAL DE TURISMO,0.13,False
SERVICIO NACIONAL DEL ADULTO MAYOR,0.0,False
SERVICIO NACIONAL DEL CONSUMIDOR,0.0,False
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,0.0,False
SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,0.0,False
SIMPLE,0.0,False
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.0,False
SUBSECRETARIA DE BIENES NACIONALES,0.0,False
SUBSECRETARIA DE DERECHOS HUMANOS,0.0,False
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,0.0,False
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,0.0,False
SUBSECRETARIA DE EDUCACION,0.0,False
