institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
SERVICIO NACIONAL DE ADUANAS,0.0,False
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,0.0,False
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,0.0,False
SERVICIO NACIONAL DE LA DISCAPACIDAD,0.0,False
SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,0.51,True
SERVICIO NACIONAL DE MENORES,0.36,True
SERVICIO NACIONAL DE MIGRACIONES,0.15,False
SERVICIO NACIONAL DE PESCA Y ACUICULTURA,0.02,False
SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,0.07,False
SERVICIO NACIONAL DE TURISMO,0.0,False
SERVICIO NACIONAL DEL ADULTO MAYOR,0.54,True
SERVICIO NACIONAL DEL CONSUMIDOR,0.02,False
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,0.0,False
SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,0.07,False
SIMPLE,0.07,False
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.15,False
SUBSECRETARIA DE BIENES NACIONALES,0.07,False
SUBSECRETARIA DE DERECHOS HUMANOS,0.07,False
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,0.02,False
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,0.0,False
SUBSECRETARIA DE EDUCACION,0.01,False
SUBSECRETARIA DE EDUCACION PARVULARIA,0.09,False
SUBSECRETARIA DE ENERGIA,0.0,False
SUBSECRETARIA DE EVALUACION SOCIAL,0.0,False
SUBSECRETARIA DE HACIENDA,0.07,False
SUBSECRETARIA DE JUSTICIA,0.24,True
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,0.07,False
SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES,0.07,False
SUBSECRETARIA DE MINERIA,0.07,False
SUBSECRETARIA DE OBRAS PUBLICAS,0.07,False
SUBSECRETARIA DE PESCA Y ACUICULTURA,0.05,False
SUBSECRETARIA DE PREVENCION DEL DELITO,0.3,True
SUBSECRETARIA DE PREVISION SOCIAL,0.08,False
SUBSECRETARIA DE REDES ASISTENCIALES,0.41,True
SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,0.0,False
SUBSECRETARIA DE RELACIONES EXTERIORES,0.02,False
SUBSECRETARIA DE SALUD PUBLICA,0.15,False
SUBSECRETARIA DE SERVICIOS SOCIALES,0.0,False
SUBSECRETARIA DE TELECOMUNICACIONES,0.0,False
SUBSECRETARIA DE TRANSPORTES,0.02,False
SUBSECRETARIA DE VIVIENDA Y URBANISMO,0.0,False
SUBSECRETARIA DEL DEPORTE,0.07,False
SUBSECRETARIA DEL INTERIOR,0.0,False
SUBSECRETARIA DEL MEDIO AMBIENTE,0.0,False
SUBSECRETARIA DEL PATRIMONIO CULTURAL,0.07,False
SUBSECRETARIA DEL TRABAJO,0.02,False
SUBSECRETARIA GENERAL DE GOBIERNO,0.07,False
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.07,False
SUBSECRETARIA PARA LAS FUERZAS ARMADAS,0.09,False
SUPERINTENDENCIA DE CASINOS DE JUEGO,0.0,False
SUPERINTENDENCIA DE EDUCACION,0.46,True
SUPERINTENDENCIA DE EDUCACION SUPERIOR,0.07,False
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,0.0,False
SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,0.0,False
SUPERINTENDENCIA DE PENSIONES,0.1,False
SUPERINTENDENCIA DE SALUD,0.03,False
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,0.15,False
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,0.01,False
SUPERINTENDENCIA DEL MEDIO AMBIENTE,0.0,False
TERCER TRIBUNAL AMBIENTAL,0.0,False
THOMAS-SIGNE CHILE S.A,0.0,False
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,0.07,False
TRIBUNAL CONSTITUCIONAL DE CHILE,0.0,False
TRIBUNAL DE DEFENSA DE LA LIBRE COMPETENCIA,0.0,False
TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,0.02,False
TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,0.0,False
TRIBUNAL ELECTORAL REGION DE BIOBIO,0.07,False
TRIBUNAL ELECTORAL REGION DE COQUIMBO,0.02,False
TRIBUNAL ELECTORAL REGION DE LOS RIOS,0.15,False
TRIBUNAL ELECTORAL REGION DE MAULE,0.07,False
TRIBUNAL ELECTORAL REGION DE O’HIGGINS,0.07,False
TRIBUNAL ELECTORAL REGION DE VALPARAISO,0.07,False
TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,0.16,False
UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,0.0,False
UNIDAD DE ANALISIS FINANCIERO,0.0,False
UNIVERSIDAD DE ANTOFAGASTA,0.09,False
UNIVERSIDAD DE CHILE,0.07,False
UNIVERSIDAD DE LA FRONTERA,0.0,False
UNIVERSIDAD DE LA SERENA,0.08,False
UNIVERSIDAD DE LOS LAGOS,0.01,False
UNIVERSIDAD DE O'HIGGINS,0.15,False
UNIVERSIDAD DE SANTIAGO DE CHILE,0.09,False
UNIVERSIDAD DE TALCA,0.07,False
UNIVERSIDAD DE TARAPACA,0.08,False
UNIVERSIDAD DEL BIOBIO,0.07,False
UNIVERSIDAD TECNOLOGICA METROPOLITANA,0.35,True
