client_id,nombre_app,institucion,sector
e56c6642c4174e18879062852eca4837,App Fomento Pinto,Municipalidad de Pinto,Municipalidad
780fb7c030e043f7bd9f40ca4ab06bd4,App Funcionarios La Florida,Municipalidad de La Florida,Municipalidad
dfd423dde87b47d382b736a15a36ac68,App La Florida,Municipalidad de La Florida,Municipalidad
74e8137eef1c4b5f8a3a358f4e8b5264,APPCAPREDENA,Caja de Previsión de la Defensa Nacional,Ministerio de Defensa Nacional
46dcd2e1b5ef4e01814e0929e2fd6885,AppSocial,Ministerio de Desarrollo Social y Familia,Ministerio de Desarrollo Social y Familia
4c209200868244bcbebe9314417d5d64,Aprende Turismo,Servicio Nacional de Turismo,"Ministerio de Economía, Fomento y Turismo"
6420f4699e704603b90df684e30899b3,Araucania Apps,Gobierno Regional de la Región de la Araucanía,Ministerio del Interior y Seguridad Pública
32b77c2c25bc41c2a2bbdbed43b42cdd,Araucanía Participa,Gobierno Regional de la Región de la Araucanía,Ministerio del Interior y Seguridad Pública
464e1e6fd76545548612d41bac094817,Arriendo en línea,Ministerio de Vivienda y Urbanismo,Ministerio de Vivienda y Urbanismo
64d9be8046574fbfbc1fb14c9912afea,ASDigital,Ministerio de Salud,Ministerio de Salud
7d8c828a4733437f868d97e1da57d4e2,Asistente de compras,Dirección de Compras y Contratación Pública,Ministerio de Hacienda
be622303b8e34a3e8d5fe57e43b11c9a,Asuntos Marítimos,Subsecretaría para las Fuerzas Armadas,Ministerio de Defensa Nacional
d45a60c22ada4e1398498eb38446eb03,Atención Vecino Santo Domingo,Municipalidad de Santo Domingo,Municipalidad
cee98b6d669c4f7c9bde634407658c31,ATG Sernageomin,Servicio Nacional de Geología y Minería,Ministerio de Minería
8a479cfcc0a24cd49aabd1f7b427b8d5,Atlas SNGM,Servicio Nacional de Geología y Minería,Ministerio de Minería
5fc09a074d0d467c9bf0e1f0ee26ec45,Aula Previsional,Subsecretaría de Previsión Social,Ministerio del Trabajo y Previsión Social
a6c839544c0440f5bf2ce98e7396613f,Aula Virtual CEA,Contraloría General de la República,Contraloría
5b2dab60a7894c96ac90b92f7c673def,Aula Virtual Registro Civil,Servicio de Registro Civil e Identificación,Ministerio de Justicia y Derechos Humanos
87da54901083486bb174fca1f06ce402,Aula Virtual SENAME,Servicio Nacional de Menores,Ministerio de Justicia y Derechos Humanos
be7886a9f72d472e8ef4f671a7526a1d,Aula virtual Sernac,Servicio Nacional del Consumidor,"Ministerio de Economía, Fomento y Turismo"
146626a8e3914f21958d0e28091cbcfe,aula.fosis.gob.cl,Fondo de Solidaridad e Inversión Social,Ministerio de Desarrollo Social y Familia
f06ee509ce99497fb236ed84f0835d00,auntoque,Municipalidad de Natales,Municipalidad
0c3aa19bae964431babaa2dc28988f59,auntoque 2,Municipalidad de Zapallar,Municipalidad
0b721b7465a040609607798f002c8950,Auntoque Municipios,Municipalidad de Peñaflor,Municipalidad
6d7091b14a034cde98fefcf31c9dbbc8,AutAUT,NCHELE,Test
ee00832abfba40b38335ce48a12981b5,Autenticacion Nube  Privada,Servicio de Impuestos Internos,Ministerio de Hacienda
ef7f52e241e04cc69c0fad85a88599bc,Autenticación SII,Servicio de Impuestos Internos,Ministerio de Hacienda
1bb1657eb2eb43808f0529810258aa3b,Autenticación Sistemas DPP,Defensoría Penal Pública,Ministerio de Justicia y Derechos Humanos
9b4850c676834809858e3bcee027a27f,Autenticación TGR,Servicio de Tesorerías,Ministerio de Hacienda
ddf47b043bc04fa0bd7d61b8af3f9b2c,Autenticacion UChile,Universidad de Chile,Ministerio de Educación
e9d3577612dd49c3b62b654e33dccefb,AutenticacionAccesoParaFirma,Certinet S.A.,Empresa Privada
006d384713634e34915490c02379b0a4,Autenticador INE,Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Empresa Privada
4bea51c8732a4b6d84a0f98b123d07c7,Autentificación de Honorarios Maipu,Municipalidad de Maipú,Municipalidad
bcc76e40db52490da3322ae4879f333b,Auth Municipalidad de Rancagua,Municipalidad de Rancagua,Municipalidad
c6c0e0151ecd46939d46692130b2c06a,Auto Reporte C19,Subsecretaría de Salud Pública,Ministerio de Salud
a647689891b84948871ff7099253a553,Autoconsulta SSASUR,Servicio de Salud Araucanía Sur,Ministerio de Salud
177e60fc7d4d441aa635b7c613dfe1ec,Autorización de construcción de depósitos de relave,Servicio Nacional de Geología y Minería,Ministerio de Minería
51f3d5f6f2bc4bf39a5c9e4079971b4f,Autorizaciones - Fonasa,Fondo Nacional de Salud,Ministerio de Salud
f95e14617a63412e90d346365976b74e,AUTOTEST VIH,Subsecretaría de Salud Pública,Ministerio de Salud
3893694f8b3c40d9b9bc7bb2a8bf22b4,Ayuda,MetricArts,Empresa Privada
c55f758e1eb348a9a5d5a8c9fb6128fc,AyudaGob,Secretaría de Gobierno Digital,Ministerio de Hacienda
42b90805b8fa47b2a2688964eb15e7a8,AyudaGobapp,MetricArts,Empresa Privada
3f8e54628a0d4200a36f6cca32dba405,Backend Solicitudes Ciudadanas,Municipalidad de Temuco,Municipalidad
15fd49e7f00a4e7290700469cea0cfad,BackOffice ClaveÚnica v2,Secretaría de Gobierno Digital,Ministerio de Hacienda
21aaea492a294d48b7615bac94ab1c2b,Backoffice de ClaveÚnica,Secretaría de Gobierno Digital,Ministerio de Hacienda
713f93125f6242069f9df14b7988ec8f,BackOffice Tramites Jurídico,Dirección del Trabajo,Ministerio del Trabajo y Previsión Social
c4b75bc3a54a4376a7c3d0355ca9c8ca,Balance de Gestión Integral,Dirección de Presupuestos,Ministerio de Hacienda
52449c34bb1e47fe81802bf322dae8ee,bcm2.sii.cl,Servicio de Impuestos Internos,Ministerio de Hacienda
bedb01e27b6646f2bc7db70aef869df9,Beca Concejo Municipal Castro,Municipalidad de Castro,Municipalidad
53a1ac7073fc42508ccf8bd6b24c601e,Becas Fondo Concursable SENCE,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
c13d78fe65b94d05ad83b59494767b9f,Beneficios Personal,Gendarmería de Chile,Ministerio de Justicia y Derechos Humanos
b41708ce3423428aa7e172a6a575a519,beta.fed.gob.cl,Ministerio Secretaría General de la Presidencia de la República,Ministerio Secretaría General de la Presidencia de la República
64a47493be064546bd385b2351007b9d,Biblioteca Digital,Ministerio Secretaría General de la Presidencia de la República,Ministerio Secretaría General de la Presidencia de la República
c78acca09c10486f851bf7a57b75631c,Biblioteca Digital Chile,Gobierno Regional de la Región Metropolitana de Santiago,Ministerio del Interior y Seguridad Pública
a1b347d50adc4315b9d360f160c59a06,Bienestar GORE Aysén,Gobierno Regional de la Región Aysén del General Carlos Ibáñez del Campo,Ministerio del Interior y Seguridad Pública
acdc34e34b964946b70e164b5b39b90d,Bienvenido al Portal Ciudadano,Municipalidad de Casablanca,Municipalidad
01b56ab5b9be43e19fa06300994787ec,Bitácora Web,Ministerio Público,Autónomo
1a84541348a944beb97640e38b7c6da8,Biznet,Biznet IT,Empresa Privada
39efc8cccc114c25bf2da1413ecf51a6,Bloqueo de pasaporte en el Exterior,Ministerio de Relaciones Exteriores,Ministerio de Relaciones Exteriores
113bcf3fa4d04d64abbdd055953e4b17,Bolsa nacional de empleo 0,Subsecretaría del Trabajo,Ministerio del Trabajo y Previsión Social
68244c73eb7a429a9c70a3dbf247293f,Bolsa nacional de empleo 1,Subsecretaría del Trabajo,Ministerio del Trabajo y Previsión Social
c5b83bbfa22c4c31a5743485b4c6e524,Bolsa Nacional de Empleo 2,Subsecretaría del Trabajo,Ministerio del Trabajo y Previsión Social
31050e1a1dcb4c9899ba77be32449e54,Bono electrónico y LME,Superintendencia de Seguridad Social,Ministerio del Trabajo y Previsión Social
ea3b3bbfa0bd4b99ae4fd1176a22d13c,Bono Logro Escolar,Subsecretaría de Servicios Sociales,Ministerio de Desarrollo Social y Familia
f5db09caf5a34ae79efd09b1f7beb429,Bono para Trabajadoras y Trabajadores Culturales,Subsecretaría de las Culturas y las Artes,"Ministerio de las Culturas, las Artes y el Patrimonio"
03bd6e11bc9246339a1812eb74331dd6,Buscador de Juicios,Contraloría General de la República,Contraloría
8ccf6c97b6eb4670bafec186fbe64f85,Buscador de Jurisprudencia,Poder Judicial,Otros Poderes
d66ded24eebc49c0966da852e278649f,Buscador Patentes,Instituto Nacional de Propiedad Industrial,"Ministerio de Economía, Fomento y Turismo"
92cc198fd5a84779bf85498b7abdcb6a,C19,Ministerio de Salud,Ministerio de Salud
6a2251c68dba48659c46874d209b6c8a,CAJ Región Biobío,Corporación de Asistencia Judicial de la Región del Biobío,Ministerio de Justicia y Derechos Humanos
2b27d60540534c228b2a3a29258b2797,Calculadora,Comisión Nacional de Riego,Ministerio de Agricultura
e69a86f37fa94bd6b766d7c09c973ade,Calificación de Trabajo Pesado,Superintendencia de Pensiones,Ministerio del Trabajo y Previsión Social
48c00243a9b5493f80bc974209e0e41a,Calificaciones MSGG,Subsecretaría General de Gobierno,Ministerio Secretaría General de Gobierno
4a9c2f22f9d047569a0ceafcb9741033,Campus Servicio Civil,Dirección Nacional del Servicio Civil,Ministerio de Hacienda
c63d7e67e1f8454386089193582563ea,Campus Virtual,Subsecretaría de Evaluación Social,Ministerio de Desarrollo Social y Familia
cc28da1df13d4147b5420ccc231a458e,Canal de denuncias,Poder Judicial,Otros Poderes
b34fe8a89b9a43189ec5be764c3b695c,Canales Digitales AFP UNO,AFP Uno,Empresa Privada
e22c65a41fbf4ff689d49576ff976483,Candidaturas,Servicio Electoral,Autónomo
85f0545e36304467a0fbcc7c5a320f20,CañeteParticipa,Municipalidad de Cañete,Municipalidad
c4476d6aef6b4902a03b1326e16d83ad,Capacitación  SPD,Subsecretaría de Prevención del Delito,Ministerio del Interior y Seguridad Pública
4060f34dc33042fda53efdfd0594b679,Capacitación ChileCompra,Dirección de Compras y Contratación Pública,Ministerio de Hacienda
ac8fac68f21540539f02e8fd2a44f651,CapacitaSII,Servicio de Impuestos Internos,Ministerio de Hacienda
a4db025d032f42578306d5461abdda40,CAPREDENApp,Redin,Empresa Privada
f8ceda9e2e5a4edbb90c3c8d22e00ed7,Carabineros de Chile,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
4ef0ced873174ee9afc306e414132c72,Carabineros de Chile - Cerofilas,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
fb74231009884254b2d13b0fd9056247,Carrera Docente CPEIP,Subsecretaría de Educación,Ministerio de Educación
0fed1f352e78482888a1d501deb68593,Casilla Digital,ACEPTA.COM S.A.,Empresa Privada
a53d759fed7840a1b00e8d903669e8a1,CasillaÚnica,Subsecretaría de Hacienda,Ministerio de Hacienda
c48448a9fe0b4a2d813d47252ee98b1d,CasillaÚnica Demo,Subsecretaría de Hacienda,Ministerio de Hacienda
942d80695ebe4218af105e03e6622f49,Catálogo CPAT,Secretaría de Gobierno Digital,Ministerio de Hacienda
762fe611ffd74465a55f721f6f956281,Catalogo de Oferta Exportable,Dirección General de Promoción de Exportaciones,Ministerio de Relaciones Exteriores
c50cee0429604f53a66a3f9a43c1e844,Catálogo digital,Subsecretaría de las Culturas y las Artes,"Ministerio de las Culturas, las Artes y el Patrimonio"
176fe485412740d589cc0f127dff0353,Catálogo Textos Escolares,Subsecretaría de Educación,Ministerio de Educación
8bdf2e73dbe646cda882d71f6842f0a8,Catalogo Tramites del Estado,Secretaría de Gobierno Digital,Ministerio de Hacienda
3ffa30fe60364b79817bfcee9ba39a64,Catastro,Subsecretaría de Bienes Nacionales,Ministerio de Bienes Nacionales
b2e6a9a525cc44cebd968cafaa44aebe,Catastro de Medios Regionales,Ministerio Secretaría General de Gobierno,Ministerio Secretaría General de Gobierno
2400eeae20ee4cfdaaff2320521c3032,Catastro de Organizaciones de Interés Público,Ministerio Secretaría General de Gobierno,Ministerio Secretaría General de Gobierno
e9c6970149fd4170a4e403d441ffb0fa,CCHEN OIRS,Comisión Chilena de Energía Nuclear,Ministerio de Energía
1ac9ef8b638c49d5a4eafceb1d6123b7,CECAPRO,Policía de Investigaciones de Chile,Ministerio del Interior y Seguridad Pública
eb838855f2344f65a4c925df80cdcad5,Cero Filas SAG,Servicio Agrícola y Ganadero,Ministerio de Agricultura
423c0056613f4ee5bc5a2b1544926ed1,Cero Papel,Municipalidad de Mejillones,Municipalidad
c5887967069740efbae781fe8fc3e637,cerofilas k8s test,Secretaría de Gobierno Digital,Ministerio de Hacienda
c41ab43393dc4726a332cda4062bd83e,CeroFilas Subtrans,Subsecretaría de Transportes,Ministerio de Transportes y Telecomunicaciones
a3c2ead0fc68405f90176c9920439001,ceropapel,Municipalidad de Taltal,Municipalidad
9bc53cf8cf2249cb8eedb7f048f1a6bc,Ceropapel,Subsecretaría de Pesca y Acuicultura,"Ministerio de Economía, Fomento y Turismo"
4754db520fae46a49ac8373cd57bb10e,Cert. de Indisponibilidad DT,Dirección del Trabajo,Ministerio del Trabajo y Previsión Social
