item1,item2,frequency
Candidaturas: servicio electoral,Registro Civil: SRCeI,743
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,698
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,669
Acceso Clave Unica UFRO: Universidad de La Frontera,Recursos de Reposición: Subsecretaría de Educación,655
Servicios en linea: Caja de Previsión de la Defensa Nacional,Sucursal Virtual Jeafosale: Ejército de Chile,655
IPS - persona: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,641
Candidaturas: servicio electoral,undefinedSII: Servicio de Impuestos Internos,639
Milicenciamedica.cl: Subsecretaría de Salud Pública,undefinedSII: Servicio de Impuestos Internos,624
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Servicios en linea: Caja de Previsión de la Defensa Nacional,595
Devolución de Pagos en excesos: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,587
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,Sernac - Portal del consumidor: Servicio Nacional del Consumidor,583
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",573
Patrocinios: Servicio Electoral,Subsidio Eléctrico: Subsecretaría de Evaluación Social,566
Milicenciamedica.cl: Subsecretaría de Salud Pública,Subsidio Eléctrico: Subsecretaría de Evaluación Social,548
Devolución de Pagos en excesos: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,542
PJUD: PODER JUDICIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,542
MINVU: Subsecretaría de Vivienda y Urbanismo,miChileAtiende: Instituto de Previsión Social,536
Autenticación TGR: Servicio de Tesorerías,Subsidio Eléctrico: Subsecretaría de Evaluación Social,532
MINVU: Subsecretaría de Vivienda y Urbanismo,Subsidio Eléctrico: Subsecretaría de Evaluación Social,530
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Subsidio Eléctrico: Subsecretaría de Evaluación Social,527
Contraloria General de la Republica: CONTRALORIA,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,516
Acceso Clave Unica UFRO: Universidad de La Frontera,Carrera Docente CPEIP: Subsecretaría de Educación,512
