item1,item2,item3,frequency
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,162
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal Servel: Servicio Electoral,154
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,118
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,102
PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,102
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,79
ChileAtiende: Instituto de Previsión Social,Subsidio Eléctrico: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,77
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,74
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,Registro Civil: SRCeI,69
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,Mercado+Público: Dirección de Compras y Contratación Pública,Requisitos para Ofertar: Dirección de Compras y Contratación Pública,68
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,66
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,59
Candidaturas: servicio electoral,Contraloria General de la Republica: CONTRALORIA,PJUD: PODER JUDICIAL,58
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,57
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,57
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,56
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,56
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,55
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,54
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,53
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,undefinedSII: Servicio de Impuestos Internos,53
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,49
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Instituto Seguridad Laboral: Instituto Seguridad Laboral,48
