item1,frequency
Patrocinios: Servicio Electoral,169979
Servicios en linea: Caja de Previsión de la Defensa Nacional,168779
Contraloría: Contraloría General de la República,165561
Bono electrónico y LME: Superintendencia de Seguridad Social,165415
Actas de mediación en línea: Subsecretaría de Justicia,164203
Devolución de Pagos en excesos: Fondo Nacional de Salud,161441
Plataforma Ley del Lobby: Subsecretaría General de la Presidencia de la República,158822
MINVU: Subsecretaría de Vivienda y Urbanismo,151217
Ventanilla Única 2.0: Ministerio del Medio Ambiente,144129
Bitácora Web: Ministerio Público,142853
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,139679
Mis Trámites CGR: Contraloría General de la República,136368
Capacitación ChileCompra: Dirección ChileCompra,135307
Comisión de Medicina Preventiva e Invalidez: Subsecretaría de Salud Pública,133113
Mi Súper: Superintendencia de Salud,132706
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,120711
SPP: Fondo de Solidaridad e Inversión Social,117366
CGR: Contraloría General de la República,116231
Contraloria General de la Republica: CONTRALORIA,114837
Red Movilidad: Subsecretaría de Transportes,107619
Agencia de Calidad de la Educación: MINISTERIO DE EDUCACION,106589
Sistema Alta Dirección Pública: Dirección Nacional del Servicio Civil,103890
Sercotec: Servicio de Cooperación Técnica,103300
SIMPLE: Corporación Nacional de Desarrollo Indígena,99426
Autenticación Sistemas DPP: Defensoría Penal Pública,98226
documentos - cyberdocs: Servicio Nacional del Patrimonio Cultural,95477
Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,93081
IPS - persona: Instituto de Previsión Social,87882
Subsidio Familiar Automático: Subsecretaría de Evaluación Social,86134
SSMSO: Servicio de Salud Sur Oriente,85115
Trámites INAPI: Instituto Nacional de Propiedad Industrial,77940
Portal de Beneficios: Gendarmería de Chile,77073
Hospital Sotero del Río: Servicio Salud Metropolitano Sur Oriente,75316
Sanidad Naval: Sanidad Naval de la Armada de Chile,73183
Accede a tu Portal Paciente: Servicio de Salud Maule,73036
Telesalud: Subsecretaría de Redes Asistenciales,68682
Firma Electronica: Secretaría de Gobierno Digital,66936
Requisitos para Ofertar: Dirección de Compras y Contratación Pública,66560
CAPREDENApp: Redin,64163
DECLARACION JURADA: Servicio Agrícola y Ganadero,64157
Recetas en línea - Acceso Químico farmacéutico: Subsecretaría de Salud Pública,62086
Instituto Seguridad Laboral: Instituto Seguridad Laboral,61236
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,60856
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,60477
Firmador MOP: Subsecretaría de Obras Públicas,58365
Superintendencia de Electricidad y Combustibles: SUPERINTENDECIA DE ELECTRICIDAD Y COMBUSTIBLES,56778
Recetas en línea - Acceso Prescriptor: Subsecretaría de Salud Pública,53502
Defensoría Penal Pública: DEFENSORIA PENAL PUBLICA,51846
Sistema de ambiente de Clientes: Central de Abastecimiento del Sistema Nacional de Servicios de Salud,50143
Portal Único de Fondos Concursables del Estado: Subsecretaría General de Gobierno,47141
Agendamiento Licencia Conducir: Municipalidad de Puente Alto,46966
Candidaturas: servicio electoral,46640
Aula Virtual CEA: Contraloría General de la República,44671
Comisaría Virtual: Carabineros de Chile,43883
Comisaría Virtual: Carabineros de Chile,43845
SIMEF v5: Subsecretaría de Justicia,42911
SERVEL- RENDICION: Servicio Electoral,42886
Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,42698
Registro Nacional de Mascotas y Animales de Compañía: Subsecretaría de Desarrollo Regional y Administrativo,42588
Municipalidad de Los Angeles: Ilustre Municipalidad de Los Angeles,41872
"Portal ""Mi SUPERIR"": Superintendencia de Insolvencia y Reemprendimiento",41682
Fonasa: Fondo Nacional de Salud,41611
Plataforma de Telemedicina: Subsecretaría de Redes Asistenciales,37701
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,36716
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,36669
Mi Crédito CAE: Comisión Administradora del Sistema de Créditos para Estudios Superiores,36576
Sistema SEIM: Subsecretaría de Transportes,35307
Campus Servicio Civil: Dirección Nacional del Servicio Civil,31122
Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,30932
FUAS-Mineduc: Subsecretaría de Educación,29599
Gestión Telesalud: Subsecretaría de Redes Asistenciales,29567
Sistema Electrónico de Postulación: Comision Nacional de Riego,28837
Corfo: Corporación de Fomento de la Producción,27504
Extranjeria: Secretaría de Gobierno Digital,27423
Mineduc-Ayudamineduc: Subsecretaría de Educación,25310
SSO: Servicio Agricola y Ganadero,24460
PAEx DGMN: Dirección General de Movilización Nacional,24135
dom digital: Municipalidad de Temuco,22344
Trámites SP: Superintendencia de Penssiones,22219
App La Florida: Municipalidad de La Florida,21652
Contactanos DT: Dirección del Trabajo,20977
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,20591
Servicio de Evaluación Ambiental: Servicio de Evaluación Ambiental,19777
Servel: Servicio Electoral,19636
Portal único de Trámites SERPAT: Servicio Nacional del Patrimonio Cultural,19602
DOM Digital: municipalidad de puerto montt,18577
"Sistema Cuenta Cultura: Ministerio de las Culturas, las Artes y el Patrimonio",18173
Beneficios Personal: Gendarmería de Chile,17487
https://tramites.subtel.gob.cl: Subsecretaría de Telecomunicaciones,16558
Municipalidad Las Condes: Municipalidad de Las Condes,16130
SUBSECRETARÍA DE PREVENCIÓN DEL DELITO: Subsecretaria de Prevención del Delito,15444
Single Sign-On: Subsecretaría de Evaluación Social,15304
Single Sign-On: Subsecretaría de Transportes,15255
NEXTEO: Subsecretaría de Transportes,14934
Carrera Docente CPEIP: Subsecretaría de Educación,14910
Tramites Mineduc: Ministerio de Educación,14517
Bolsa nacional de empleo: Subsecretaría del Trabajo,14425
Fondo de Solidaridad e Inversión Social - Cerofilas: Fondo de Solidaridad e Inversión Social,14049
Mi HC OnLine: Servicio de Salud Arica y Parinacota,14040
Ingreso a Municipalidad de Santiago: Municipalidad de Santiago,12606
Recursos de Reposición: Subsecretaría de Educación,12504
Bono Logro Escolar: Subsecretaría de Servicios Sociales,12487
Superintendencia de Educación: Superintendencia de Educación,11338
Directores para Chile: Servicio Civil,11214
Simple Trámites: Subsecretaría de Evaluación Social,11114
Trámites Dirección Trabajo: Dirección del Trabajo,10182
Pagos Diario Oficial: Subsecretaría del Interior,10005
Autentificación de Honorarios Maipu: Municipalidad de Maipú,9946
Sistema de Registro: Subsecretaría de Evaluación Social,9382
Postulación Beneficios Municipalidad de Puente Alto: Municipalidad de Puente Alto,8861
Gesparvu Junji: Junta Nacional de Jardines Infantiles,8852
milicenciamedica: Subsecretaría de Salud Pública,7787
Plataforma SEM 2.0: Subsecretaría de Desarrollo Regional y Administrativo,7449
Portal Pacientes HMS: Ejército de Chile,7372
Fondo Nacional: Ministerio del Interior,7167
TRASPASO DEL DOMINIO DE BIENES: Fondo de Solidaridad e Inversión Social,6624
Listado de trámites digitales: Subsecretaría de Educación,6511
Sucursal Virtual Jeafosale: Ejército de Chile,6367
SIMPLE CEROFILAS: Servicio de Tesorerías,6313
Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,6128
Agencia de Calidad de la Educación: Agencia de Calidad de la Educación,5934
Portal Vecino: Municipalidad de Providencia,5862
Postulación PFD: Subsecretaría de Educación,5690
Oficina Judicial Virtual Tribunales Tributarios y Aduaneros: Unidad Administradora de Tribunales Tributarios y Aduaneros,5514
Pesca Recreativa: Servicio Nacional de Pesca y Acuicultura,5490
Trámites Senadis: Servicio Nacional de la Discapacidad,5224
Direccion del Trabajo: DIRECCION DEL TRABAJO,5164
Sistema de Postulación Único: Carabineros de Chile,4740
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,4619
Gobierno Regional del Maule: e-Process,4366
Solicitud de Pasavantes Online: Servicio Nacional de Aduanas,4231
Gobierno Digital Simple: Secretaría de Gobierno Digital,4217
Sistema de Admisión Escolar: Subsecretaría de Educación,4045
sise portal: Subsecretaría de Evaluación Social,3908
Autenticacion UChile: Universidad de Chile,3783
IFE Laboral: Servicio Nacional de Capacitación y Empleo,3646
Oficina Virtual DGA: Dirección General de Aguas,3636
Catálogo CPAT: Secretaría de Gobierno Digital,3297
Participación Digital: Secretaría de Gobierno Digital,3112
Portal de Atención Ciudadana: Subsecretaría de Telecomunicaciones,3028
Web Cajmetro: Corporación de Asistencia Judicial de la Región Metropolitana,2902
Portal Paciente: Subsecretaría de Redes Asistenciales,2870
Subasta Aduanera: Servicio Nacional de Aduanas,2558
Cero Filas SAG: Servicio Agrícola y Ganadero,2555
SER: Subsecretaría General de la Presidencia de la República,2403
Red Movilidad: Subsecretaría de Transportes,2270
Trámites Municipales: Municipalidad de Ñuñoa,2139
Portal Docente Parvularia: Subsecretaría de Educación,2100
Agenda Casino: Presidencia de la República,2055
Portal Inscripción de talleres: Municipalidad de Puente Alto,1849
Visitas Guiadas: Presidencia de la República,1755
Servicio de Evaluacion Ambiental: SERVICIO DE EVALUACION AMBIENTAL,1669
Dom Digital Muni Coquimbo: Municipalidad de Coquimbo,1424
ApelaciónbeneficiosEstudiantil: Subsecretaría de Educación,1401
Plataforma de Cursos DDHH: Subsecretaría de Derechos Humanos,1300
Intranet SEIM: Subsecretaría de Transportes,1276
Sistema de Acceso Unico: Instituto de Desarrollo Agropecuario,1211
SIMPLE: Municipalidad de Puente Alto,1197
CNTV Denuncias: Consejo Nacional de Televisión,1160
Comisaría Virtual: Secretaría de Gobierno Digital,995
Servicio de Salud Tarapacá: Servicio de Salud Tarapacá,965
Participación ciudadana: Municipalidad de La Reina,722
Tramites Recoleta: Municipalidad de Recoleta,678
Balance de Gestión Integral: Dirección de Presupuestos,666
Fondos Comunidad - GORE Los Lagos: Gobierno Regional de la Región de Los Lagos,537
Servicio Único de Identidad - SMA: Superintendencia del Medio Ambiente,487
Participación Ciudadana: Subsecretaría del Deporte,482
Campus Virtual: Subsecretaría de Evaluación Social,463
.SCSE.: Subsecretaría de Hacienda,452
Carabineros de Chile - Cerofilas: Carabineros de Chile,452
Solicitud de Rebaja de Patente: Servicio Nacional de Geología y Minería,446
Subsecretaría de Transportes: Subsecretaría de Transportes,433
CNTV Play: Consejo Nacional de Televisión,392
DIPRECA: Dirección de Previsión de Carabineros de Chile,387
Evaluación SSCoquimbo: Servicio de Salud Coquimbo,359
CapacitaSII: Servicio de Impuestos Internos,328
ULagos - SEI: Universidad de Los Lagos,310
Servicio Nacional de Aduanas: Servicio Nacional de Aduanas,307
Plataforma de remates en línea: Dirección General de Crédito Prendario,287
Registro Nacional de Pymes: Subsecretaría de Economía y Empresas de Menor Tamaño,285
Simple: Secretaría de Gobierno Digital,282
Votaciones MSGG: Subsecretaría General de Gobierno,256
Defensoría del Contribuyente: Subsecretaría de Hacienda,241
Vinadecide: Municipalidad de Viña del Mar,231
Mentorías - Postulaciones: Subsecretaría de Educación,225
SIMPLE: Secretaría de Gobierno Digital,201
RPI: MTT,164
SUBDERE: Subsecretaría de Desarrollo Regional y Administrativo,147
Registro de agentes culturales: Consejo Nacional de la Cultura y las Artes,137
Sucursal Virtual - AFISAN: Armada de Chile,131
Docentes para Chile: Subsecretaría de Educación,125
POSTULACIÓN FOSIS: Fondo de Solidaridad e Inversión Social,124
Gestión Documental: Ilustre Municipalidad de Peñalolén,112
DocDigital v3 Cert: Subsecretaría General de la Presidencia de la República,107
"Niños, Niñas y Adolescentes: Subsecretaría de Evaluación Social",105
Sistemas Internos: Subsecretaría de Bienes Nacionales,102
Tramites DEP: Dirección de Educación Pública,102
SIMPLE: Gobierno Regional de Arica y Parinacota,84
MPH Consulta Ciudadana: Municipalidad de Padre Hurtado,74
Portal de Participación Ciudad: Municipalidad de Lo Barnechea,66
El orgullo de ser Gendarmería: Gendarmería de Chile,64
Portal del vecino Lo Barnechea: Municipalidad de Lo Barnechea,59
Calificaciones MSGG: Subsecretaría General de Gobierno,55
Cursos CCS: Servicio Nacional de Geología y Minería,54
Chequeo Digital: Subsecretaría de Economía y Empresas de Menor Tamaño,53
Superintendencia de Educación Superior: Superintendencia de educacion superior,51
DT e-learning MiPyME: Dirección del Trabajo,50
SIMPLE: Gendarmería de Chile,50
Portal de Exámenes: Servicio de Salud Ñuble,47
