servicio_a,servicio_b,soporte_co_ocurrencia,n_a_antes_b,n_b_antes_a,direccion_dominante,frac_direccion_dominante,clasificacion,nombre_a,nombre_b
123,fdd7e5cf453e42d7b8cb2334d3a7bff9,43,24,19,123->fdd7e5cf453e42d7b8cb2334d3a7bff9,0.5581,mixto,Registro Civil - SRCeI,Telesalud - Subsecretaría de Redes Asistenciales
4a94478dd25f4430a0a023b87e11170d,fb944d98fea445bda57de000993d3e25,43,19,24,fb944d98fea445bda57de000993d3e25->4a94478dd25f4430a0a023b87e11170d,0.5581,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Accede a tu Portal Paciente - Servicio de Salud Maule
91f3f86897ff4ae39e50cbd7035fa8af,b972e814004e4624a566f308901cca7c,43,21,22,b972e814004e4624a566f308901cca7c->91f3f86897ff4ae39e50cbd7035fa8af,0.5116,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,DocDigital Versión 3 - Subsecretaría General de la Presidencia de la República
91f3f86897ff4ae39e50cbd7035fa8af,f883bd6d70b043a09837e8b888fe3f65,43,20,23,f883bd6d70b043a09837e8b888fe3f65->91f3f86897ff4ae39e50cbd7035fa8af,0.5349,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
a6c839544c0440f5bf2ce98e7396613f,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,43,20,23,eaf8f2b0ccd04cf2a7bfcf357fe88ca2->a6c839544c0440f5bf2ce98e7396613f,0.5349,mixto,Aula Virtual CEA - Contraloría General de la República,Empleos Públicos - Servicio Civil
3346db58cd2d474fbcf63e827462b85d,780fb7c030e043f7bd9f40ca4ab06bd4,42,27,15,3346db58cd2d474fbcf63e827462b85d->780fb7c030e043f7bd9f40ca4ab06bd4,0.6429,mixto,Single Sign-On - Subsecretaría de Evaluación Social,App Funcionarios La Florida - Municipalidad de La Florida
6a322ad743e3464bae56d2d9b180078a,ae54454684154c25bd33c6e04609652b,42,22,20,6a322ad743e3464bae56d2d9b180078a->ae54454684154c25bd33c6e04609652b,0.5238,mixto,6a322ad743e3464bae56d2d9b180078a,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública
38b3f29fe39b4e87b5f7982165de8cf1,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,42,13,29,eaf8f2b0ccd04cf2a7bfcf357fe88ca2->38b3f29fe39b4e87b5f7982165de8cf1,0.6905,mixto,Portal Servel - Servicio Electoral,Empleos Públicos - Servicio Civil
3346db58cd2d474fbcf63e827462b85d,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,42,25,17,3346db58cd2d474fbcf63e827462b85d->eaf8f2b0ccd04cf2a7bfcf357fe88ca2,0.5952,mixto,Single Sign-On - Subsecretaría de Evaluación Social,Empleos Públicos - Servicio Civil
6a322ad743e3464bae56d2d9b180078a,79bvfghg9a0a8tm25d16sddg7d61d4710,42,15,27,79bvfghg9a0a8tm25d16sddg7d61d4710->6a322ad743e3464bae56d2d9b180078a,0.6429,mixto,6a322ad743e3464bae56d2d9b180078a,Extranjeria - Secretaría de Gobierno Digital
2ff516ac74a44ebfa3a522adbde28a0f,e8dde9d26979498786c6ba5a82f70ad3,42,19,23,e8dde9d26979498786c6ba5a82f70ad3->2ff516ac74a44ebfa3a522adbde28a0f,0.5476,mixto,E-Sign ClaveÚnica - ESIGN S.A.,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
01b56ab5b9be43e19fa06300994787ec,c13d78fe65b94d05ad83b59494767b9f,42,23,19,01b56ab5b9be43e19fa06300994787ec->c13d78fe65b94d05ad83b59494767b9f,0.5476,mixto,Bitácora Web - Ministerio Público,Beneficios Personal - Gendarmería de Chile
645a4f092abd49f0820b8a5507e3dea0,ae4caa1cb2154cac89440f3fe18251cb,42,13,29,ae4caa1cb2154cac89440f3fe18251cb->645a4f092abd49f0820b8a5507e3dea0,0.6905,mixto,Sistema Servicios en línea - Caja de Previsión de la Defensa Nacional,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
6a322ad743e3464bae56d2d9b180078a,fb3957569a8d49528c3571bcb4703f55,42,18,24,fb3957569a8d49528c3571bcb4703f55->6a322ad743e3464bae56d2d9b180078a,0.5714,mixto,6a322ad743e3464bae56d2d9b180078a,MINVU - Subsecretaría de Vivienda y Urbanismo
1bb1657eb2eb43808f0529810258aa3b,638aea308ffb483198d5c1387e2cc017,42,2,40,638aea308ffb483198d5c1387e2cc017->1bb1657eb2eb43808f0529810258aa3b,0.9524,consistente,Autenticación Sistemas DPP - Defensoría Penal Pública,"Portal ""Mi SUPERIR"" - Superintendencia de Insolvencia y Reemprendimiento"
9c9359fefd164d388f8a5edc2bac301e,c82f84bf3f2b451393445a0cb6883665,42,18,24,c82f84bf3f2b451393445a0cb6883665->9c9359fefd164d388f8a5edc2bac301e,0.5714,mixto,Contraloría - Contraloría General de la República,Ventanilla Única Social - Subsecretaría de Evaluación Social
64b50202d6b74bfcb78c7342823e0f4f,e10304f95c2b40738695563eb9b8662c,41,30,11,64b50202d6b74bfcb78c7342823e0f4f->e10304f95c2b40738695563eb9b8662c,0.7317,mixto,Cesantía - Comisión Administradora de Sistema de Créditos para Estudios Superiores,SISTEMA DE ATENCIÓN DE CONSULTA - Comisión Administradora del Sistema de Créditos para Estudios Superiores
5f686fded1294c02a7a5c3298f2eec5b,64d9be8046574fbfbc1fb14c9912afea,41,21,20,5f686fded1294c02a7a5c3298f2eec5b->64d9be8046574fbfbc1fb14c9912afea,0.5122,mixto,Sistema SEIM - Subsecretaría de Transportes,ASDigital - Ministerio de salud
2549b51828ce40af920a932dd2102217,a7709b21161d459298dc5dc58e77310b,41,23,18,2549b51828ce40af920a932dd2102217->a7709b21161d459298dc5dc58e77310b,0.561,mixto,undefined - Servicio de Impuestos Internos,DIPRECA - Dirección de Previsión de Carabineros de Chile
cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,ee00832abfba40b38335ce48a12981b5,41,20,21,ee00832abfba40b38335ce48a12981b5->cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,0.5122,mixto,Portal Usuario 2.0 - Subsecretaría de Justicia,Autenticacion Nube  Privada - Servicio de Impuestos Internos
94d27864f86d422faa68efccb908cc34,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,41,18,23,eaf8f2b0ccd04cf2a7bfcf357fe88ca2->94d27864f86d422faa68efccb908cc34,0.561,mixto,94d27864f86d422faa68efccb908cc34,Empleos Públicos - Servicio Civil
4830b97416a14d1485ccb85c9f9baa4e,67339e06f4b44f78994ff4785178807a,41,9,32,67339e06f4b44f78994ff4785178807a->4830b97416a14d1485ccb85c9f9baa4e,0.7805,mixto,Trámites SP - Superintendencia de Penssiones,Mercado+Público - Dirección de Compras y Contratación Pública
ab2dd6e0890c4b5483973add6fa1b91b,c82f84bf3f2b451393445a0cb6883665,41,7,34,c82f84bf3f2b451393445a0cb6883665->ab2dd6e0890c4b5483973add6fa1b91b,0.8293,mixto,Sercotec - Servicio de Cooperación Técnica,Ventanilla Única Social - Subsecretaría de Evaluación Social
4a94478dd25f4430a0a023b87e11170d,74e60dc3bc26493d81088e4d322b7c39,41,19,22,74e60dc3bc26493d81088e4d322b7c39->4a94478dd25f4430a0a023b87e11170d,0.5366,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,SignPass - BPO Advisors SpA
2549b51828ce40af920a932dd2102217,9ad41e803fff463bac913cedefca7796,41,15,26,9ad41e803fff463bac913cedefca7796->2549b51828ce40af920a932dd2102217,0.6341,mixto,undefined - Servicio de Impuestos Internos,Servicio Electoral - Cerofilas - Servicio Electoral
209ce526160947f0b398566cd4cbfd0d,86144f0d3b814c1d8c013f7aade6c55d,41,17,24,86144f0d3b814c1d8c013f7aade6c55d->209ce526160947f0b398566cd4cbfd0d,0.5854,mixto,Portal de Aplicaciones Sence - Servicio Nacional de Capacitacion y Empleo,Sernac - Portal del consumidor - Servicio Nacional del Consumidor
dcd0b6134a8846c1ac7171f8530945ab,f883bd6d70b043a09837e8b888fe3f65,41,9,32,f883bd6d70b043a09837e8b888fe3f65->dcd0b6134a8846c1ac7171f8530945ab,0.7805,mixto,Identidad Única - Ministerio de Vivienda y Urbanismo - Subsecretaría de Vivienda y Urbanismo,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
40fc9588a8e04b28852ec1163528bb8a,6a322ad743e3464bae56d2d9b180078a,41,34,7,40fc9588a8e04b28852ec1163528bb8a->6a322ad743e3464bae56d2d9b180078a,0.8293,mixto,PAEx DGMN - Dirección General de Movilización Nacional,6a322ad743e3464bae56d2d9b180078a
dd7629fec91f4599b3cf8c0dd0b984ac,fb944d98fea445bda57de000993d3e25,41,25,16,dd7629fec91f4599b3cf8c0dd0b984ac->fb944d98fea445bda57de000993d3e25,0.6098,mixto,Sucursal Virtual FONASA - Fondo Nacional de Salud,Accede a tu Portal Paciente - Servicio de Salud Maule
b785d3ec935248ff8a8fd358f7765463,d602a0071f3f4db8b37a87cffd89bf23,41,32,9,b785d3ec935248ff8a8fd358f7765463->d602a0071f3f4db8b37a87cffd89bf23,0.7805,mixto,Pesca Recreativa - Servicio Nacional de Pesca y Acuicultura,PJUD - PODER JUDICIAL
645a4f092abd49f0820b8a5507e3dea0,9a76efc4c34e4bd7843206658dc45454,41,18,23,9a76efc4c34e4bd7843206658dc45454->645a4f092abd49f0820b8a5507e3dea0,0.561,mixto,Sistema Servicios en línea - Caja de Previsión de la Defensa Nacional,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
86144f0d3b814c1d8c013f7aade6c55d,ffaec74bfd414f8394bab077a989e27f,41,13,28,ffaec74bfd414f8394bab077a989e27f->86144f0d3b814c1d8c013f7aade6c55d,0.6829,mixto,Sernac - Portal del consumidor - Servicio Nacional del Consumidor,miChileAtiende - Instituto de Previsión Social
c7d9f088b4be4e38924fcfa78a6b5496,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,41,29,12,c7d9f088b4be4e38924fcfa78a6b5496->eaf8f2b0ccd04cf2a7bfcf357fe88ca2,0.7073,mixto,Directores para Chile - Servicio Civil,Empleos Públicos - Servicio Civil
40fc9588a8e04b28852ec1163528bb8a,6e12533e73a048efa8bcc0a30f2b7684,40,3,37,6e12533e73a048efa8bcc0a30f2b7684->40fc9588a8e04b28852ec1163528bb8a,0.925,consistente,PAEx DGMN - Dirección General de Movilización Nacional,Dirección General de Movilización Nacional - Dirección General de Movilización Nacional
