servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
495c261c0f484bd08e232f7358452c4d,ae4caa1cb2154cac89440f3fe18251cb,685,mixto,0.0044,0.1022,189.0,420.0,623.0,849.6
4a94478dd25f4430a0a023b87e11170d,c82f84bf3f2b451393445a0cb6883665,676,mixto,0.0325,0.1627,102.75,272.5,593.0,1147.5
ffaec74bfd414f8394bab077a989e27f,ae4caa1cb2154cac89440f3fe18251cb,675,mixto,0.1274,0.4696,10.0,81.0,333.5,1166.3
4a94478dd25f4430a0a023b87e11170d,123,672,mixto,0.0714,0.4345,14.0,107.0,501.0,1046.0
67339e06f4b44f78994ff4785178807a,4bb573e349504824b5b5a050a83e094d,659,mixto,0.0121,0.1836,87.0,243.0,560.0,986.0
4830b97416a14d1485ccb85c9f9baa4e,e8dde9d26979498786c6ba5a82f70ad3,652,mixto,0.7653,0.9264,1.0,2.0,4.0,106.0
6a322ad743e3464bae56d2d9b180078a,123,650,mixto,0.1523,0.5354,10.0,52.0,210.75,953.55
0f33ab6447034fe49d1629353a119e47,e8dde9d26979498786c6ba5a82f70ad3,645,mixto,0.6915,0.862,1.0,2.0,8.0,357.0
67eb30db49f240b08ab2b3f422f92cdf,2549b51828ce40af920a932dd2102217,639,mixto,0.0485,0.2973,43.0,140.0,315.0,849.7
08165f6182bc4dfc9dc1d7774508bbc6,e8dde9d26979498786c6ba5a82f70ad3,633,mixto,0.0174,0.4834,17.0,64.0,187.0,1000.2
006b85a984e94ce88ddb035ec01b2d70,b972e814004e4624a566f308901cca7c,620,mixto,0.0581,0.2581,56.75,153.5,294.5,589.4
41da80f6154c4d918166fc43862f5d78,d602a0071f3f4db8b37a87cffd89bf23,616,mixto,0.2143,0.4367,9.0,84.5,297.5,647.25
56da1c80cfea4a5b83326bfef271fc3e,ae4caa1cb2154cac89440f3fe18251cb,609,mixto,0.0263,0.2479,61.0,159.0,364.0,863.6
4a94478dd25f4430a0a023b87e11170d,2549b51828ce40af920a932dd2102217,608,mixto,0.2845,0.477,3.0,75.0,447.25,1071.65
9a76efc4c34e4bd7843206658dc45454,0f33ab6447034fe49d1629353a119e47,599,mixto,0.8264,0.8881,0.0,0.0,1.0,375.4
