Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00030-00039;Reliquidación de Pensión de retiro y nuevo desahucio para el personal de las Fuerzas Armadas y organismos dependientes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00039;Reliquidación de Pensión de retiro y nuevo desahucio para el personal de las Fuerzas Armadas y organismos dependientes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Caja de Previsión de la Defensa Nacional;Documento (certificado) y/o expediente;Certificado de imposiciones (CAPREDENA);;;;;;;;
PA-SER00128-00064;Autorizar el uso de días de permiso por fallecimiento de parientes;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Ejército de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Ejército de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00040;Devolución de imposiciones del fondo de desahucio de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Caja de Previsión de la Defensa Nacional;Documento (certificado) y/o expediente;Certificado de imposiciones (CAPREDENA);;;;;;;;
PA-SER00128-00065;Autorizar el uso de días de permiso por nacimiento de hijos/as ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-SER00128-00066;Autorizar el uso de días de permiso por Matrimonio o Unión Civil;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
TR-SER00169-00203;Solicitud de Inscripción como importador de dispositivos, partes y piezas (orden y seguridad);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PA-SER00164-00006;Egreso Programado;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Pensiones;No se encuentra certificado;Certificado de Tasa de reemplazo;;;;;;;;;;;
PA-GOR00036-00007;Identificación presupuestaria de Inversión ;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Evaluación Social;No se encuentra certificado;Acceso al Banco Integrado de Proyecto BIP;;;;;;;;;;;
PA-SER00164-00007;Licencias Médicas;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Salud Pública;No se encuentra certificado;Resolución de la institución de Salud;;;;;;;;;;;
PT-SER00140-00098;Beca Polimetales;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría del Medio Ambiente;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado acreditación polimetales;;;;;;;
PT-SER00140-00098;Beca Polimetales;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Dato o set de datos;;;Rut, nombre;;;;;;
PT-SER00140-00098;Beca Polimetales;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Educación;Documento (certificado) y/o expediente;No se encuentra certificado;Calidad de alumno regular;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Ejército de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Ejército de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de remuneraciones;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Hoja de servicios;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Certificado de defunción (SRCeI);;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;
PT-SUB00030-00041;Devolución de imposiciones del fondo de retiro de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;
TR-SER00169-00204;Solicitud de Inscripción como importador de electroshock y aerosoles lacrimógenos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
TR-SER00169-00205;Solicitud de Inscripción como importador de herramientas de disparo uso industrial ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
TR-SER00169-00206;Solicitud de Inscripción como importador de luces de señales ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00128-00077;Elaborar decretos de Modificación Presupuestaria;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Hacienda;Decreto electrónico en formato XML
PT-COM00107-00040;Análisis de Traspasos o asociación con terceros en pertenencias mineras (Cumplimiento Ley N° 19.137).;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Nacional de Geología y Minería;Documento (certificado) y/o expediente;No se encuentra certificado;Antecedentes de la pertenencia minera para analizar la asociación con terceros o la transferencia a ENAMI.;;;;;;;
TR-SER00169-00207;Solicitud de Inscripción como importador de municiones;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00140-00100;Beca Residencia Indígena;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Corporación Nacional de Desarrollo Indígena;Documento (certificado) y/o expediente;Certificado de acreditación de la calidad indígena (CONADI);;;;;;;;
TR-SER00169-00208;Solicitud de Inscripción como importador de municiones y cartuchos industriales;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PA-SUB00052-00093;Confección de Convenio Mandato;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Arquitectura;Dato o set de datos;;;convenio de mandato ;;;;;;
PA-SUB00052-00094;Planificación y Supervisión de proyectos;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Arquitectura;Dato o set de datos;;;Bases licitación;;;;;;
PA-SUB00052-00094;Planificación y Supervisión de proyectos;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Arquitectura;Dato o set de datos;;;estados de pagos;;;;;;
PA-CMT01519-00006;Tratos Directos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Documento de constitución de la empresa, certificado de vigencia y RUT de la empresa.;;;;;;;;;;;
PA-CMT01519-00007;Convenios Marco;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Documento de constitución de la empresa, certificado de vigencia y RUT de la empresa.;;;;;;;;;;;
PT-SUB00063-00041;Regularización de Título Gratuito en Propiedad Fiscal para particulares DL 1.939;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de enajenación en zona fronteriza;;;;;;;
PT-SUB00063-00041;Regularización de Título Gratuito en Propiedad Fiscal para particulares DL 1.939;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;Informe de cláusulas de protección de medio ambiente;;;;;;;
PT-SUB00063-00041;Regularización de Título Gratuito en Propiedad Fiscal para particulares DL 1.939;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Solicitud de pre rol;;;;;;;
PT-SUB00063-00041;Regularización de Título Gratuito en Propiedad Fiscal para particulares DL 1.939;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de enajenación en playa fiscal de 80 metros;;;;;;;
PT-SUB00063-00041;Regularización de Título Gratuito en Propiedad Fiscal para particulares DL 1.939;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Corporación Nacional Forestal y de Protección de Recursos Naturales Renovables;Documento (certificado) y/o expediente;No se encuentra certificado;Informe de claúsulas de protección forestal;;;;;;;
PA-CON00725-00002;Procedimiento de Contratación de Personal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de situación militar al día
PA-CMT01519-00008;Licitaciones Privadas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Documento de constitución de la empresa, certificado de vigencia y RUT de la empresa.;;;;;;;;;;;
PA-HOS00042-00001;Solicitud de requerimiento de compra;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección de Presupuestos;No se encuentra certificado;Orden de compra;;;;;;;;;;;
PT-SUB00030-00042;Rehabilitación de pensión de retiro para beneficiarios pensionados de las Fuerzas Armadas y organismos dependientes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Caja de Previsión de la Defensa Nacional;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de pensión impaga;;;;;;;
PT-SUB00030-00043;Cese de pensión de retiro de beneficiarios pensionados de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Ejército de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Contrato;;;;;;;
PT-SUB00030-00043;Cese de pensión de retiro de beneficiarios pensionados de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Contrato;;;;;;;
PT-SUB00030-00043;Cese de pensión de retiro de beneficiarios pensionados de las Fuerzas Armadas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Fuerza Aérea de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Contrato;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de antecedentes laborales y previsionales (DT);;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de cumplimiento de obligaciones laborales y previsionales (DT);;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Constitución de Sociedad en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Sociedad del Registro de Comercio;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Inscripción de Extracto de Sociedad en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Inscripción de Poder y Revocación en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Poder del Registro de Comercio;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Electricidad y Combustibles;No se encuentra certificado;Certificado de Instaladores e Inspectores Autorizados;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Vivienda y Urbanización Región Metropolitana;No se encuentra certificado;Certificado de instaladores, mantenedores y certificadores de ascensores;;;;;;;;;;;
PA-SER00164-00012;Licitación Pública;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección de Compras y Contratación Pública;No se encuentra certificado;Registro de Proveedor Habilitado;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de antecedentes laborales y previsionales (DT);;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de cumplimiento de obligaciones laborales y previsionales (DT);;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Constitución de Sociedad en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Sociedad del Registro de Comercio;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Inscripción de Extracto de Sociedad en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Inscripción de Poder y Revocación en el Registro de Comercio;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Poder del Registro de Comercio;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Electricidad y Combustibles;No se encuentra certificado;Certificado de Instaladores e Inspectores Autorizados;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Vivienda y Urbanización Región Metropolitana;No se encuentra certificado;Certificado de instaladores, mantenedores y certificadores de ascensores;;;;;;;;;;;
PA-SER00164-00013;Trato Directo;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección de Compras y Contratación Pública;No se encuentra certificado;Registro de Proveedor Habilitado;;;;;;;;;;;
PT-COM00149-00004;Renovación de centros;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Sociedad;;;;;;;;;;;
PT-COM00149-00004;Renovación de centros;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de antecedentes laborales y previsionales (DT);;;;;;;;;;;;
PT-COM00149-00004;Renovación de centros;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Tesorerías;Certificado de Deuda Fiscal (TGR);;;;;;;;;;;;
PT-COM00149-00004;Renovación de centros;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;Nodo Proveedor de Ejemplo en Desarrollo;Responde lo mismo que se le envia;Información Personal;;
PT-SER00128-00089;Calcular el Precio de Referencia del Cobre;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Banco Central de Chile;Dato o set de datos;;;Datos Financieros;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cedula de identidad comprobar vigencia, género, número de run, nombres y apellidos y fecha de nacimiento;;;;;;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Policía de Investigaciones de Chile;No se encuentra certificado;Certificado de nacimiento del/de la hijo/a o la libreta de familia;;;;;;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Corporación Nacional de Desarrollo Indígena;Certificado de acreditación de la calidad indígena (CONADI);;;;;;;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión Nacional de Acreditación;No se encuentra certificado;Acreditación Institucional;;;;;;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Capacitación y Empleo;No se encuentra certificado;Registro de Instituciones Receptoras de Fondos Públicos. ;;;;;;;;;;;
PT-AGN00597-00032;POST-0016-SREC Concurso Estudios sobre Pluralismo en el Sistema Informativo Nacional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Registro Deudores Pensiones Alimenticias.;;;;;;;;;;;
PT-SER00128-00091;Evaluar Ex Ante los programas gubernamentales de las instituciones públicas.;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Evaluación Social;Programas a evaluar
PA-SUB00061-00044;Bonificación por retiro - Bonificación adicional y otros beneficios de incentivo al retiro;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Contraloría General de la República;Dato o set de datos;;;Años de servicio del funcionario ;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cedula de identidad comprobar vigencia, género, número de run, nombres y apellidos y fecha de nacimiento;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Policía de Investigaciones de Chile;No se encuentra certificado;Certificado de Vigencia de Permanencia Definitiva en Chile;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Corporación Nacional de Desarrollo Indígena;Certificado de acreditación de la calidad indígena (CONADI);;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión Nacional de Acreditación;No se encuentra certificado;Acreditación Institucional;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Capacitación y Empleo;No se encuentra certificado;Registro de Instituciones Receptoras de Fondos Públicos. ;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Registro Deudores Pensiones Alimenticias.;;;;;;;;;;;
PT-AGN00597-00037;POST-0021-SREC Concurso Ciencia 2030;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Justicia;No se encuentra certificado;Certificado de Vigencia Personalidad Jurídica emitido con una anterioridad no mayor a 30 días corridos respecto de la fecha de postulación.;;;;;;;;;;;
PT-INS00550-00129;Solicitud de Inscripción en el Registro Nacional de Organizaciones Deportivas a Nivel Regional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00128-00095;Elaborar estadísticas del Gobierno General;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Contraloría General de la República;Dato o set de datos;;;Datos Financieros;;;;;;
PT-INS00067-00357;AUTORIZACIÓN DE FUNCIONAMIENTO DE LABORATORIO DE ANÁLISIS DE MEDICAMENTOS EN FLUIDOS BIOLÓGICOS PARA REALIZAR ESTUDIOS DE BE (IN VIVO) NACIONAL O EXTRANJERO;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
PT-SER00128-00096;Elaborar anuario de las estadísticas de las finanzas públicas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Hacienda;Dato o set de datos;;;Datos Financieros;;;;;;
PA-SER00151-00026;Pago Proveedores;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Impuestos Internos;Orden de Pago
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cedula de identidad comprobar vigencia, género, número de run, nombres y apellidos y fecha de nacimiento;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Policía de Investigaciones de Chile;No se encuentra certificado;Certificado de Vigencia de Permanencia Definitiva en Chile;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Corporación Nacional de Desarrollo Indígena;Certificado de acreditación de la calidad indígena (CONADI);;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Justicia;No se encuentra certificado;Certificado de Vigencia Personalidad Jurídica emitido con una anterioridad no mayor a 30 días corridos respecto de la fecha de postulación.;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión Nacional de Acreditación;No se encuentra certificado;Acreditación Institucional;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Capacitación y Empleo;No se encuentra certificado;Registro de Instituciones Receptoras de Fondos Públicos. ;;;;;;;;;;;
PT-AGN00597-00040;POST-0024-SREC Concurso Fondo de Publicación de Revistas Científicas Chilenas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Registro Deudores Pensiones Alimenticias.;;;;;;;;;;;
PA-INS00545-00021;Creación, modificación, y/o actualización del Comité Paritario de Higiene y Seguridad ;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Superintendencia de Seguridad Social;Dotación y Accidentes Laborales
PT-INS00067-00359;CAMBIO DE REGIMEN DE PRODUCTO FARMACEUTICO O PESTICIDA (POR PRODUCTO) ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
PA-SER00147-00020;Proceso de selección de personal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección Nacional del Servicio Civil;Postulaciones  y antecedentes de empleos públicos 
PT-AGN00597-00043;POST-0027-SREC Concurso Tiempo de Telescopio APEX B;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cedula de identidad comprobar vigencia, género, número de run, nombres y apellidos y fecha de nacimiento;;;;;;;;;;;
PT-AGN00597-00043;POST-0027-SREC Concurso Tiempo de Telescopio APEX B;No hay interoperabilidad, se solicita a sus usuarios(as);Policía de Investigaciones de Chile;No se encuentra certificado;Certificado de Vigencia de Permanencia Definitiva en Chile;;;;;;;;;;;
PT-AGN00597-00043;POST-0027-SREC Concurso Tiempo de Telescopio APEX B;No hay interoperabilidad, se solicita a sus usuarios(as);Corporación Nacional de Desarrollo Indígena;No se encuentra certificado;Certificado Pueblos Originarios;;;;;;;;;;;
PT-AGN00597-00043;POST-0027-SREC Concurso Tiempo de Telescopio APEX B;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Justicia;No se encuentra certificado;Certificado de Vigencia Personalidad Jurídica emitido con una anterioridad no mayor a 30 días corridos respecto de la fecha de postulación.;;;;;;;;;;;
PT-AGN00597-00043;POST-0027-SREC Concurso Tiempo de Telescopio APEX B;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión Nacional de Acreditación;No se encuentra certificado;Acreditación Institucional;;;;;;;;;;;
