Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00039-00107;0100010049_INSCRIPCION DE UN BUS, TROLEBUS, Y MINIBUS, POR INGRESO DIRECTO O PRIMERA INSCRIPCION, EN UN SERVICIO DE LOCOMOCION COLECTIVA EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de Transferencia de dominio de vehículos motorizados
PT-SUB00039-00107;0100010049_INSCRIPCION DE UN BUS, TROLEBUS, Y MINIBUS, POR INGRESO DIRECTO O PRIMERA INSCRIPCION, EN UN SERVICIO DE LOCOMOCION COLECTIVA EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Solicitud de primera inscripción o de transferencia
PT-SUB00039-00109;0100010098_CAMBIO DE DOMICILIO LEGAL DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00109;0100010098_CAMBIO DE DOMICILIO LEGAL DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00109;0100010098_CAMBIO DE DOMICILIO LEGAL DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00109;0100010098_CAMBIO DE DOMICILIO LEGAL DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI)
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de inscripción de vehículos motorizados (padrón)
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Solicitud de primera inscripción o de transferencia
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
