grupo_a,grupo_b,mes,co_uso
Comisión para el Mercado Financiero,Poder Judicial,2025-06-01 00:00:00,98253
Comisión para el Mercado Financiero,Poder Judicial,2025-07-01 00:00:00,114313
Comisión para el Mercado Financiero,Poder Judicial,2025-08-01 00:00:00,121766
Comisión para el Mercado Financiero,Poder Judicial,2025-09-01 00:00:00,99374
Comisión para el Mercado Financiero,Poder Judicial,2025-10-01 00:00:00,110202
Comisión para el Mercado Financiero,Poder Judicial,2025-11-01 00:00:00,111894
Comisión para el Mercado Financiero,Poder Judicial,2025-12-01 00:00:00,79841
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-01-01 00:00:00,57377
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-02-01 00:00:00,60563
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-03-01 00:00:00,74469
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-04-01 00:00:00,70425
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-05-01 00:00:00,72712
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-06-01 00:00:00,80826
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-07-01 00:00:00,142809
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-08-01 00:00:00,86549
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-09-01 00:00:00,81808
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-10-01 00:00:00,115944
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-11-01 00:00:00,81689
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2024-12-01 00:00:00,69522
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-01-01 00:00:00,116629
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-02-01 00:00:00,82688
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-03-01 00:00:00,122769
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-04-01 00:00:00,93124
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-05-01 00:00:00,57677
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-06-01 00:00:00,4976
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-07-01 00:00:00,134
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-08-01 00:00:00,146
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-09-01 00:00:00,60
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-10-01 00:00:00,91
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-11-01 00:00:00,35
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2025-12-01 00:00:00,29
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-01-01 00:00:00,102220
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-02-01 00:00:00,109634
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-03-01 00:00:00,153743
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-04-01 00:00:00,258490
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-05-01 00:00:00,195230
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-06-01 00:00:00,162571
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-07-01 00:00:00,171630
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-08-01 00:00:00,144651
