inst_origen,inst_destino,soporte_total,n_pares_servicio,peso,frac_prom_ponderada
SERVICIO NACIONAL DEL CONSUMIDOR,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,14829,1,12631.0,0.8517769235956572
ACEPTA.COM S.A.,CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,14771,1,13555.000000000002,0.9176765283325437
ACEPTA.COM S.A.,UNIVERSIDAD DE CHILE,14660,1,12809.0,0.8737380627557981
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE EVALUACION SOCIAL,14626,1,12841.0,0.8779570627649391
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,SUBSECRETARIA DE BIENES NACIONALES,14597,1,13547.000000000002,0.9280674111118724
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,14445,1,12643.0,0.875250951886466
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",CERTIFICADORA DEL SUR,14362,1,12935.0,0.9006405793065033
SUBSECRETARIA DE JUSTICIA,MINISTERIO PUBLICO,14202,1,14090.0,0.9921137867905929
ACEPTA.COM S.A.,UNIVERSIDAD DE LA FRONTERA,14177,1,12995.0,0.9166255202087888
ACEPTA.COM S.A.,MUNICIPALIDAD DE LA FLORIDA,13933,1,11933.0,0.8564558960740688
CONTRALORIA,SUBSECRETARIA DE REDES ASISTENCIALES,13444,1,11849.0,0.881359714370723
SERVICIO AGRICOLA Y GANADERO,CONTRALORIA GENERAL DE LA REPUBLICA,13318,1,12490.0,0.937828502778195
ACEPTA.COM S.A.,SUBSECRETARIA DE SERVICIOS SOCIALES,13233,1,12135.000000000002,0.9170256177737476
SERVICIO AGRICOLA Y GANADERO,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,12914,1,12914.0,1.0
SUBSECRETARIA DE EVALUACION SOCIAL,SUBSECRETARIA DE TRANSPORTES,12871,1,11811.0,0.9176443166809106
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,PODER JUDICIAL,12672,1,11021.0,0.8697127525252525
SUBSECRETARIA DE EDUCACION,"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",12667,1,10962.0,0.8653982789926581
DIRECCION DEL TRABAJO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,12525,1,10775.0,0.8602794411177644
SUBSECRETARIA DE EDUCACION,SECRETARIA DE GOBIERNO DIGITAL,12446,1,11171.0,0.8975574481761208
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AFP UNO,12421,1,10736.0,0.8643426455196844
INSTITUTO DE SEGURIDAD LABORAL,SUBSECRETARIA DE TRANSPORTES,12077,1,10372.0,0.8588225552703486
SUBSECRETARIA DE EDUCACION,COMISION PARA EL MERCADO FINANCIERO,11705,1,10551.0,0.9014096539940196
SECRETARIA DE GOBIERNO DIGITAL,JUNTA NACIONAL DE JARDINES INFANTILES,11304,1,9754.0,0.8628803963198868
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE COLINA,11282,1,10600.999999999998,0.9396383619925543
PODER JUDICIAL,CERTIFICADORA DEL SUR,11204,1,9593.0,0.8562120671188861
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,MUNICIPALIDAD DE QUILICURA,11193,1,9758.0,0.8717948717948718
INSTITUTO DE PREVISION SOCIAL,CONSEJO NACIONAL DE TELEVISION,11145,1,9573.0,0.858950201884253
ACEPTA.COM S.A.,SUBSECRETARIA DE TELECOMUNICACIONES,11034,1,10636.0,0.9639296719231466
UNIVERSIDAD DE LA FRONTERA,UNIVERSIDAD DE CHILE,10845,1,9549.0,0.8804979253112033
SUBSECRETARIA DE EDUCACION,SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,10553,1,9383.0,0.8891310527811996
PODER JUDICIAL,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,10518,1,9003.0,0.8559612093553908
DIRECCION DEL TRABAJO,ILUSTRE MUNICIPALIDAD DE PENALOLEN,10509,1,9269.0,0.8820058997050148
SERVICIO AGRICOLA Y GANADERO,DIRECCION GENERAL DE MOVILIZACION NACIONAL,10323,1,10317.0,0.999418773612322
ACEPTA.COM S.A.,MUNICIPALIDAD DE PROVIDENCIA,10161,1,8908.0,0.8766853656136208
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",CAJA DE PREVISION DE LA DEFENSA NACIONAL,10121,1,9968.0,0.9848829167078352
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,9985,1,9393.000000000002,0.9407110665999
ACEPTA.COM S.A.,SUPERINTENDENCIA DE EDUCACION,9933,1,9217.0,0.927917044196114
CONTRALORIA,MINISTERIO PUBLICO,9889,1,9167.999999999998,0.9270907068459903
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO NACIONAL DEL CONSUMIDOR,9643,1,8267.0,0.8573058176915898
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE BIENES NACIONALES,9624,1,8746.000000000002,0.9087697423108896
COMISION PARA EL MERCADO FINANCIERO,SUBSECRETARIA DE BIENES NACIONALES,9586,1,8347.0,0.8707490089714166
SERVICIO DE COOPERACION TECNICA,MINISTERIO PUBLICO,9497,1,8381.0,0.8824892071180372
MUNICIPALIDAD DE LA FLORIDA,SUBSECRETARIA DE TRANSPORTES,9472,1,8506.0,0.8980152027027027
ACEPTA.COM S.A.,CORPORACION DE FOMENTO DE LA PRODUCCION,9443,1,8251.0,0.8737689293656677
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE EDUCACION,9436,1,8601.999999999998,0.9116150911403135
PODER JUDICIAL,ILUSTRE MUNICIPALIDAD DE PENALOLEN,9382,1,8043.000000000001,0.8572798976764017
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE HACIENDA,9360,1,8486.0,0.9066239316239316
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,MINISTERIO PUBLICO,9340,1,8026.0,0.8593147751605996
SUBSECRETARIA DE EVALUACION SOCIAL,MINISTERIO PUBLICO,9265,1,8268.0,0.8923907177549919
ACEPTA.COM S.A.,MINISTERIO DE TRANSPORTE Y TELECOMUNICACIONES,9236,1,8087.0,0.8755954958856648
DIRECCION GENERAL DE MOVILIZACION NACIONAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,9232,1,7993.0,0.8657928942807626
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE PREVISION SOCIAL,9218,1,8900.0,0.9655022781514428
ACEPTA.COM S.A.,DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,9186,1,7922.0,0.8623993032876116
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,ILUSTRE MUNICIPALIDAD DE PENALOLEN,9082,1,7860.0,0.8654481391763928
TESORERIA GENERAL DE LA REPUBLICA,CERTIFICADORA DEL SUR,8971,1,8309.0,0.9262066659235314
SUBSECRETARIA DE EVALUACION SOCIAL,SUBSECRETARIA DE VIVIENDA Y URBANISMO,8883,1,7927.0,0.8923787008893392
SANIDAD NAVAL DE LA ARMADA DE CHILE,DIRECCION GENERAL DE MOVILIZACION NACIONAL,8775,1,7906.0,0.900968660968661
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE JUSTICIA,8746,1,7453.0,0.8521609878801738
SUBSECRETARIA DE EDUCACION,CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,8742,1,7526.0,0.8609013955616563
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE TELECOMUNICACIONES,8597,1,7859.999999999999,0.9142724206118412
ACEPTA.COM S.A.,SUBSECRETARIA DEL INTERIOR,8447,1,7331.0,0.8678820883153783
TESORERIA GENERAL DE LA REPUBLICA,ILUSTRE MUNICIPALIDAD DE PENALOLEN,8320,1,7775.000000000001,0.9344951923076924
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE EDUCACION,8312,1,7765.0,0.934191530317613
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE EDUCACION,8280,1,7189.0,0.8682367149758454
COMISION PARA EL MERCADO FINANCIERO,SUBSECRETARIA DE PREVISION SOCIAL,8213,1,8064.999999999999,0.9819797881407524
DIRECCION DEL TRABAJO,MUNICIPALIDAD DE COLINA,8103,1,7098.0,0.8759718622732321
SUBSECRETARIA DEL TRABAJO,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,7911,1,6766.0,0.8552648211351283
SUBSECRETARIA DE REDES ASISTENCIALES,CONSEJO NACIONAL DE TELEVISION,7863,1,6804.0,0.8653185806943915
EJERCITO DE CHILE,SECRETARIA DE GOBIERNO DIGITAL,7811,1,6818.0,0.8728715913455384
PODER JUDICIAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,7791,1,7618.0,0.9777948915415222
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE JUSTICIA,7724,1,6784.0,0.8783013982392542
SERVICIO CIVIL,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,7668,1,6631.0,0.8647626499739176
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUPERINTENDENCIA DE EDUCACION,7622,1,6492.0,0.8517449488323274
TESORERIA GENERAL DE LA REPUBLICA,CAJA DE PREVISION DE LA DEFENSA NACIONAL,7615,1,7611.000000000001,0.9994747209455024
COMISION PARA EL MERCADO FINANCIERO,SUBSECRETARIA DE PREVENCION DEL DELITO,7543,1,6452.0,0.8553625878297759
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE PREVENCION DEL DELITO,7496,1,6662.0,0.8887406616862327
REDIN,CAJA DE PREVISION DE LA DEFENSA NACIONAL,7484,1,7210.999999999999,0.9635221806520576
PODER JUDICIAL,SUBSECRETARIA DE BIENES NACIONALES,7477,1,6561.0,0.8774909723150996
SERVICIO AGRICOLA Y GANADERO,DIRECCION NACIONAL DEL SERVICIO CIVIL,7377,1,6426.0,0.8710858072387149
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE EDUCACION,7364,1,6724.0,0.913090711569799
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,CERTIFICADORA DEL SUR,7333,1,6862.000000000001,0.9357698077185328
SERVICIO AGRICOLA Y GANADERO,SECRETARIA DE GOBIERNO DIGITAL,7310,1,6345.0,0.8679890560875513
SUPERINTENDENCIA DE SALUD,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,7277,1,6197.0,0.851587192524392
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,MINISTERIO PUBLICO,7236,1,7205.999999999999,0.995854063018242
ACEPTA.COM S.A.,SUBSECRETARIA GENERAL DE GOBIERNO,7198,1,6401.0,0.8892747985551542
SUBSECRETARIA DEL TRABAJO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,7194,1,6185.0,0.8597442313038643
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE PREVISION SOCIAL,7026,1,6864.0,0.9769427839453458
PODER JUDICIAL,SUBSECRETARIA DE EDUCACION,6935,1,6271.999999999999,0.904397981254506
UNIVERSIDAD DE LA FRONTERA,MINISTERIO PUBLICO,6899,1,6440.000000000001,0.9334686186403828
UNIVERSIDAD DE LA FRONTERA,SUBSECRETARIA DE REDES ASISTENCIALES,6845,1,5924.0,0.8654492330168005
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,6754,1,5957.0,0.8819958543085579
SERVICIO AGRICOLA Y GANADERO,PRESIDENCIA DE LA REPUBLICA,6657,1,5911.0,0.8879375093886135
SERVICIO DE IMPUESTOS INTERNOS,CAJA DE PREVISION DE LA DEFENSA NACIONAL,6614,1,6365.0,0.9623525854248564
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE BIENES NACIONALES,6581,1,5771.0,0.8769184014587449
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",PODER JUDICIAL,6562,1,6133.999999999999,0.9347759829320328
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,SUBSECRETARIA DE PREVENCION DEL DELITO,6554,1,5624.0,0.8581019224900824
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,SUBSECRETARIA DE PREVENCION DEL DELITO,6544,1,5669.0,0.8662897310513448
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,6483,1,5567.0,0.8587073885546814
SERVICIO AGRICOLA Y GANADERO,CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,6367,1,5571.0,0.8749803675200252
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,CERTIFICADORA DEL SUR,6298,1,5367.0,0.8521752937440458
CONTRALORIA GENERAL DE LA REPUBLICA,"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",6296,1,5352.0,0.8500635324015248
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE JUSTICIA,6246,1,5757.000000000001,0.9217098943323728
