proveedora,dueña,n_procedimientos_cpat,soporte,marginal_proveedora,marginal_dueña,lift,frac_direccion_esperada,proveedora_antes,dueña_antes,mismo_dia
Servicio Nacional de Aduanas,Servicio Agrícola y Ganadero,1,26641,102565,1248989,2.9284053309771725,0.36121498893383197,9466,16740,435
Servicio de Registro Civil e Identificación,Instituto de Salud Pública de Chile,1,26638,9820357,31230,1.2230404433356705,0.6992433083612544,18574,7989,75
Contraloría General de la República,Subsecretaría de Energía,8,25699,424886,1517217,0.5613510857433583,0.4831832885147512,12398,13261,40
Servicio de Registro Civil e Identificación,Universidad de Santiago de Chile,5,25095,9820357,29984,1.2000761890858087,0.7465037775277287,18576,6308,211
Servicio de Impuestos Internos,Dirección General de Aeronáutica Civil,2,24441,7051586,31437,1.5524925800994962,0.6918182191387167,16852,7507,82
Servicio de Impuestos Internos,Instituto de Salud Pública de Chile,104,24397,7051586,31230,1.5599694711273662,0.7085474653620031,17234,7089,74
Servicio de Registro Civil e Identificación,Subsecretaría de Bienes Nacionales,6,23833,9820357,27711,1.233211888406288,0.8078090740428403,19158,4558,117
Servicio de Registro Civil e Identificación,Dirección General del Crédito Prendario,2,23441,9820357,26837,1.2524296968767104,0.7164306797279377,16748,6629,64
Servicio de Registro Civil e Identificación,Servicio Nacional de Geología y Minería,6,23277,9820357,25871,1.2901047633160547,0.7116755215757419,16476,6675,126
Servicio de Registro Civil e Identificación,Subsecretaría de Prevención del Delito,8,23199,9820357,26325,1.2636071456297115,0.5141071273548051,11844,11194,161
Subsecretaría de Educación,Gendarmería de Chile,2,23112,1287858,119626,2.112430511046103,0.447585601404741,10196,12584,332
Dirección General de Movilización Nacional,Gendarmería de Chile,3,21828,702113,119626,3.6594836714802166,0.4617019071310116,8909,10387,2532
Ejército de Chile,Caja de Previsión de la Defensa Nacional,1,21749,64725,222671,21.2491733145839,0.31026116740402454,6522,14499,728
Servicio de Impuestos Internos,Subsecretaría de Bienes Nacionales,2,21194,7051586,27711,1.5272579303894667,0.8017654960660142,16712,4132,350
Servicio Nacional de Aduanas,Subsecretaría de Transportes,2,21112,102565,1447843,2.0019221565863266,0.5524615092187797,11626,9418,68
Servicio de Tesorerías,Gendarmería de Chile,1,20862,1972259,119626,1.2451018471083568,0.5114622207143895,10553,10080,229
Servicio de Impuestos Internos,Servicio Nacional de Geología y Minería,1,20751,7051586,25871,1.6016863399364794,0.664108790675085,13674,6916,161
Municipalidad de Santiago,Servicio Agrícola y Ganadero,3,20653,109655,1248989,2.1234134133616775,0.4011346004654771,8273,12351,29
Servicio Nacional de Pesca y Acuicultura,Subsecretaría de Salud Pública,2,20593,95903,2300001,1.3146128284407201,0.4266790045292943,8761,11772,60
Subsecretaría de Salud Pública,Servicio Nacional de Pesca y Acuicultura,2,20593,2300001,95903,1.3146128284407201,0.5733209954707057,11772,8761,60
Contraloría General de la República,Corporación Nacional de Desarrollo Indígena,1,20315,424886,438899,1.5339749872241684,0.4448945314429679,9006,11237,72
Servicio de Impuestos Internos,Universidad de Santiago de Chile,2,19273,7051586,29984,1.2835459167326264,0.6831951613744199,13103,6076,94
Dirección General de Movilización Nacional,Policía de Investigaciones de Chile,1,17381,702113,74238,4.695479470497996,0.5192928877664885,8842,8185,354
Servicio de Registro Civil e Identificación,Superintendencia de Educación Superior,2,16337,9820357,18162,1.2897924363964193,0.7452522893491488,12126,4145,66
Gendarmería de Chile,Subsecretaría de Justicia,2,16165,119626,733737,2.5932726043502403,0.49756857855361597,7981,8059,125
Servicio de Registro Civil e Identificación,Subsecretaría para las Fuerzas Armadas,11,15994,9820357,20626,1.1118680899521813,0.6507846114907618,10285,5519,190
Gendarmería de Chile,Dirección de Previsión de Carabineros de Chile,7,15560,119626,131194,13.960742023918659,0.6797695696374111,10030,4725,805
Servicio de Tesorerías,Ejército de Chile,1,15095,1972259,64725,1.6650818076337965,0.6008771929824561,9042,6006,47
Servicio de Registro Civil e Identificación,Instituto Nacional de Deportes de Chile,14,14511,9820357,16062,1.2954149614491899,0.7498096754100629,10834,3615,62
Servicio Agrícola y Ganadero,Servicio Nacional de Pesca y Acuicultura,4,14449,1248989,95903,1.698577820368519,0.6075763917957304,8709,5625,115
Subsecretaría de Economía y Empresas de Menor Tamaño,Servicio Nacional de Pesca y Acuicultura,1,14258,996716,95903,2.100358611621108,0.5842728297632469,8292,5900,66
Subsecretaría de Vivienda y Urbanismo,Corporación de Fomento de la Producción,1,14178,1194254,69677,2.399204614567616,0.534340854264226,7531,6563,84
Contraloría General de la República,Dirección de Previsión de Carabineros de Chile,1,13612,424886,131194,3.4385394369127185,0.30647184709615527,4153,9398,61
Subsecretaría de Salud Pública,Instituto de Salud Pública de Chile,12,13170,2300001,31230,2.581809711120616,0.6301673416367387,8247,4840,83
Carabineros de Chile,Dirección General de Aeronáutica Civil,1,12993,2539510,31437,2.29169533224452,0.43485304327701924,5637,7326,30
Dirección del Trabajo,Subsecretaría de Previsión Social,1,12515,3044807,48279,1.1988125551905178,0.6567694979736994,7941,4150,424
Dirección del Trabajo,Dirección General de Aeronáutica Civil,1,12472,3044807,31437,1.8347365041968224,0.5818649931611554,7232,5197,43
Servicio de Impuestos Internos,Instituto Nacional de Deportes de Chile,1,11853,7051586,16062,1.4736023997102874,0.7025423728813559,8290,3510,53
Servicio de Registro Civil e Identificación,Subsecretaría de las Culturas y las Artes,18,11715,9820357,12626,1.33041672556159,0.777681134208924,8941,2556,218
Servicio de Tesorerías,Servicio Nacional de Geología y Minería,1,10681,1972259,25871,2.947631687906834,0.588028837032821,6199,4343,139
Subsecretaría de Educación,Universidad de Santiago de Chile,1,10664,1287858,29984,3.8886696559510026,0.6614120569408618,6923,3544,197
Corporación Nacional de Desarrollo Indígena,Instituto de Desarrollo Agropecuario,1,10590,438899,74533,4.558492353898916,0.5924587281430106,6065,4172,353
Servicio de Registro Civil e Identificación,Servicio Nacional del Adulto Mayor,5,10316,9820357,14027,1.0545270503570294,0.667772142021069,6846,3406,64
