inst_origen,inst_destino,soporte_total,n_pares_servicio,frac_prom_ponderada
CONTRALORIA GENERAL DE LA REPUBLICA,SERVICIO DE IMPUESTOS INTERNOS,10285,2,0.8874088478366553
ACEPTA.COM S.A.,DIRECCION NACIONAL DEL SERVICIO CIVIL,10056,2,0.9130867143993636
FONDO NACIONAL DE SALUD,CERTIFICADORA DEL SUR,9939,2,0.9693128081295905
SUBSECRETARIA DE EDUCACION,INSTITUTO DE PREVISION SOCIAL,9921,2,0.871787118234049
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO DE COOPERACION TECNICA,9719,2,0.8798230270603972
INSTITUTO NACIONAL DE ESTADISTICAS,BPO ADVISORS SPA,9193,2,0.8758838246491896
SUBSECRETARIA DE JUSTICIA,AFP UNO,9039,2,0.9693550171479146
ACEPTA.COM S.A.,SERVICIO NACIONAL DE ADUANAS,8908,2,0.9408396946564885
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE RECOLETA,8667,2,0.8768893504095996
SERVICIO AGRICOLA Y GANADERO,SERVICIO NACIONAL DE ADUANAS,8462,2,0.8912786575277711
SUBSECRETARIA DE EDUCACION,MINISTERIO DE DESARROLLO SOCIAL,8419,2,0.9018885853426774
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE PREVISION SOCIAL,8126,2,0.9987693822298794
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE REDES ASISTENCIALES,8007,2,0.8683651804670913
MINISTERIO DE DESARROLLO SOCIAL,PODER JUDICIAL,7943,2,0.9156489991187209
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,SUBSECRETARIA DE HACIENDA,7941,2,0.9224279058053142
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE QUILICURA,7819,2,0.8660954086200281
ACEPTA.COM S.A.,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,7640,2,0.8586387434554974
SUBSECRETARIA DE EDUCACION,DIRECCION DEL TRABAJO,7562,2,0.8967204443268977
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,7275,2,0.9499656357388315
SERVICIO DE EVALUACION AMBIENTAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,7200,2,0.8605555555555555
FONDO NACIONAL DE SALUD,PODER JUDICIAL,7105,2,0.8719211822660099
