institucion,marginal,n_total
GOBIERNO REGIONAL DE LA REGION AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,3562,14081161
AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,3400,14081161
FUERZA AEREA DE CHILE,3398,14081161
SERVICIO DE SALUD AYSEN,3255,14081161
SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,3160,14081161
MUNICIPALIDAD DE PUCON,2874,14081161
MUNICIPALIDAD DE PUNTA ARENAS,2843,14081161
MUNICIPALIDAD DE VITACURA,2836,14081161
SUBSECRETARIA DE EDUCACION PARVULARIA,2820,14081161
MUNICIPALIDAD DE VILLARRICA,2729,14081161
MUNICIPALIDAD DE MULCHEN,2689,14081161
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,2463,14081161
MUNICIPALIDAD DE ZAPALLAR,2395,14081161
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,2350,14081161
MUNICIPALIDAD DE TORRES DEL PAINE,2343,14081161
MUNICIPALIDAD DE ANGOL,2337,14081161
DIRECCION DE PRESUPUESTOS,2330,14081161
MINISTERIO DE RELACIONES EXTERIORES,2220,14081161
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,2178,14081161
GOBIERNO REGIONAL DE LA REGION DE ARICA Y PARINACOTA,2128,14081161
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,2084,14081161
DEFENSA CIVIL DE CHILE,2082,14081161
MUNICIPALIDAD DE OSORNO,2081,14081161
MUNICIPALIDAD DE RENGO,2072,14081161
MUNICIPALIDAD DE CABILDO,2027,14081161
SUBSECRETARIA DE PESCA Y ACUICULTURA,1975,14081161
OPTION,1954,14081161
MINISTERIO DE VIVIENDA Y URBANISMO,1893,14081161
CAMARA DE DIPUTADOS DE CHILE,1859,14081161
CENTRO DE FORMACION TECNICA DE LA REGION DE TARAPACA,1661,14081161
MUNICIPALIDAD DE VILLA ALEGRE,1625,14081161
INSTITUTO NACIONAL DE DERECHOS HUMANOS,1538,14081161
MUNICIPALIDAD DE SAN ANTONIO,1534,14081161
PARQUE METROPOLITANO DE SANTIAGO,1508,14081161
MUNICIPALIDAD DE VALLENAR,1406,14081161
MUNICIPALIDAD DE PENAFLOR,1397,14081161
MUNICIPALIDAD DE NAVIDAD,1377,14081161
MUNICIPALIDAD DE PANGUIPULLI,1294,14081161
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,1290,14081161
MUNICIPALIDAD DE CASTRO,1279,14081161
MUNICIPALIDAD DE SANTO DOMINGO,1271,14081161
ILUSTRE MUNICIPALIDAD DE LAGO RANCO,1256,14081161
UNIVERSIDAD DE ANTOFAGASTA,1250,14081161
SERVICIO NACIONAL DE MENORES,1223,14081161
MUNICIPIOS,1219,14081161
MUNICIPALIDAD DE COYHAIQUE,1058,14081161
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,964,14081161
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,924,14081161
SERVICIO DE SALUD OSORNO,888,14081161
MUNICIPALIDAD DE REQUINOA,859,14081161
MUNICIPALIDAD DE TOME,836,14081161
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,827,14081161
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,817,14081161
SEGUNDO TRIBUNAL AMBIENTAL,805,14081161
MUNICIPALIDAD DE MAULLIN,794,14081161
SUBSECRETARIA DEL PATRIMONIO CULTURAL,768,14081161
ACADEMIA POLITECNICA NAVAL,766,14081161
MUNICIPALIDAD DE LLANQUIHUE,766,14081161
SERVICIO DE SALUD DEL RELONCAVI,763,14081161
TRIBUNAL ELECTORAL REGION DE VALPARAISO,741,14081161
FISCALIA NACIONAL ECONOMICA,729,14081161
SUBSECRETARIA DE MINERIA,725,14081161
COMISION NACIONAL DE ENERGIA,710,14081161
MUNICIPALIDAD DE RIO BUENO,693,14081161
MUNICIPALIDAD DE LOS VILOS,693,14081161
MUNICIPALIDAD DE PELARCO,688,14081161
CORPORACION DE EDUCACION Y SALUD DE LAS CONDES,688,14081161
MUNICIPALIDAD DE PARRAL,684,14081161
PRIMER TRIBUNAL ELECTORAL,656,14081161
UNIVERSIDAD TECNOLOGICA METROPOLITANA,641,14081161
MUNICIPALIDAD DE RENCA,613,14081161
COMISION CHILENA DE ENERGIA NUCLEAR,607,14081161
MINISTERIO DE HACIENDA,591,14081161
TRIBUNAL ELECTORAL REGION DE O’HIGGINS,577,14081161
MUNICIPALIDAD DE HUECHURABA,552,14081161
