institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
Servicio Agrícola y Ganadero,Sanidad Naval de la Armada de Chile,3108,1,1.31,efecto_base_lift_bajo
Servicio de Cooperación Técnica,Servicio de Salud Araucanía Sur,3105,1,2.57,candidato_sin_verificar
Municipalidad de Los Angeles,Subsecretaría de Justicia,3105,1,1.66,candidato_sin_verificar
Dirección Nacional del Servicio Civil,docdigital,3104,3,45.17,candidato_sin_verificar
Comisión para el Mercado Financiero,Instituto de Salud Pública de Chile,3102,1,1.79,candidato_sin_verificar
Subsecretaría de Salud Pública,Servicio Nacional del Consumidor,3097,1,2.85,candidato_sin_verificar
ACEPTA.COM S.A.,Dirección General de Aeronáutica Civil,3092,1,2.14,confirmado_acepta
Poder Judicial,Senado,3092,1,1.63,candidato_sin_verificar
Instituto de Previsión Social,Ministerio del Interior,3088,1,1.2,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Municipalidad de Padre Hurtado,3084,1,1.2,efecto_base_lift_bajo
Fondo Nacional de Salud,Subsecretaría de Justicia,3082,2,1.51,candidato_sin_verificar
Carabineros de Chile,Junta Nacional de Jardines Infantiles,3075,2,1.39,efecto_base_lift_bajo
Instituto Nacional de Estadísticas,Universidad de Chile,3073,2,3.44,candidato_sin_verificar
Subsecretaría de Telecomunicaciones,Instituto de Previsión Social,3073,1,1.2,efecto_base_lift_bajo
Municipalidad de Los Angeles,Carabineros de Chile,3072,1,3.73,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Servicio de Evaluación Ambiental,3069,1,1.79,candidato_sin_verificar
Subsecretaría de Servicios Sociales,Subsecretaría de Vivienda y Urbanismo,3063,1,6.56,candidato_sin_verificar
Instituto de Seguridad Laboral,E-Digital PKI SpA.,3061,1,4.54,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Municipalidad de Peñalolén,3061,1,1.97,candidato_sin_verificar
Subsecretaría General de la Presidencia de la República,Ministerio Público,3060,1,3.6,candidato_sin_verificar
Corporación Nacional de Desarrollo Indígena,Consejo Nacional de Televisión,3060,1,1.78,candidato_sin_verificar
Universidad de La Frontera,Superintendencia de Electricidad y Combustibles,3055,1,1.57,candidato_sin_verificar
Agencia de Calidad de la Educación,Servicio de Impuestos Internos,3041,1,2.17,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría General de la Presidencia de la República,3039,1,1.94,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio de Salud Tarapacá,3035,2,1.58,confirmado_acepta
ACEPTA.COM S.A.,Servicio Nacional de Geología y Minería,3028,3,2.81,confirmado_acepta
Instituto de Previsión Social,Hospital Base Valdivia,3027,1,1.41,efecto_base_lift_bajo
Servicio de Impuestos Internos,Centro de Referencia de Salud de Peñalolén Cordillera Oriente,3020,2,1.54,candidato_sin_verificar
Servicio Nacional de Pesca y Acuicultura,Subsecretaría de Redes Asistenciales,3020,1,1.21,efecto_base_lift_bajo
Dirección de Compras y Contratación Pública,Ministerio del Medio Ambiente,3019,2,14.67,candidato_sin_verificar
Agencia de Calidad de la Educación,Servicio Electoral,3019,1,1.59,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Salud Pública,3017,1,1.28,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Fuerza Aérea de Chile,3016,1,1.27,efecto_base_lift_bajo
BPO Advisors SpA,Municipalidad de Colina,3001,1,1.58,candidato_sin_verificar
Ministerio Público,Subsecretaría de Bienes Nacionales,2997,1,2.72,candidato_sin_verificar
Caja de Previsión de la Defensa Nacional,Superintendencia de Electricidad y Combustibles,2994,1,1.44,efecto_base_lift_bajo
Subsecretaría de Justicia,Servicio de Salud Araucanía Sur,2992,1,1.71,candidato_sin_verificar
Secretaría de Gobierno Digital,Municipalidad de La Reina,2988,1,1.36,efecto_base_lift_bajo
Subsecretaría General de Gobierno,Ministerio Público,2985,1,2.77,candidato_sin_verificar
ACEPTA.COM S.A.,Dirección General del Crédito Prendario,2978,2,2.09,confirmado_acepta
Subsecretaría de Redes Asistenciales,Policía de Investigaciones de Chile,2960,1,1.7,candidato_sin_verificar
Dirección General del Territorio Marítimo y de Marina Mercante,Superintendencia de Pensiones,2959,1,1.6,candidato_sin_verificar
Subsecretaría de Justicia,Junta Nacional de Jardines Infantiles,2957,1,5.85,candidato_sin_verificar
Ministerio del Medio Ambiente,Comisión para la Integridad Pública y Transparencia,2950,1,10.29,candidato_sin_verificar
Subsecretaría de Derechos Humanos,Fondo Nacional de Salud,2950,2,1.74,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría de Bienes Nacionales,2943,3,4.52,candidato_sin_verificar
Subsecretaría de Educación,Subsecretaría de Transportes,2943,1,1.46,efecto_base_lift_bajo
Subsecretaría del Trabajo,Subsecretaría de Bienes Nacionales,2936,1,1.94,candidato_sin_verificar
Instituto de Previsión Social,Dirección General del Crédito Prendario,2928,1,1.32,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Defensoría Penal Pública,2925,1,1.65,candidato_sin_verificar
Dirección General de Movilización Nacional,Caja de Previsión de la Defensa Nacional,2920,1,2.05,candidato_sin_verificar
Certinet S.A.,Carabineros de Chile,2920,2,1.67,candidato_sin_verificar
Caja de Previsión de la Defensa Nacional,Contraloría General de la República,2916,1,1.53,candidato_sin_verificar
Dirección General de Movilización Nacional,Subsecretaría de Desarrollo Regional y Administrativo,2907,1,1.68,candidato_sin_verificar
Servicio de Salud Maule,Carabineros de Chile,2904,1,1.87,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Hacienda,2901,1,5.79,candidato_sin_verificar
Servicio Nacional del Consumidor,Agencia Nacional de Ciberseguridad,2897,1,3.78,candidato_sin_verificar
Servicio de Impuestos Internos,Municipalidad de Colina,2897,1,1.46,efecto_base_lift_bajo
Subsecretaría de Derechos Humanos,Ministerio Público,2896,1,5.02,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Ministerio Público,2888,1,1.83,candidato_sin_verificar
Poder Judicial,Tribunal de Defensa de la Libre Competencia,2887,1,3.64,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Policía de Investigaciones de Chile,2887,1,2.45,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Superintendencia de Casinos de Juego,2876,1,1.23,efecto_base_lift_bajo
Dirección General del Territorio Marítimo y de Marina Mercante,Subsecretaría de Evaluación Social,2865,1,1.34,artefacto_vus
ACEPTA.COM S.A.,Junta Nacional de Jardines Infantiles,2864,2,1.86,confirmado_acepta
BPO Advisors SpA,Subsecretaría de Bienes Nacionales,2859,1,1.72,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Ministerio de Transportes y Telecomunicaciones,2856,1,1.21,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Unidad de Análisis Financiero,2854,1,1.3,efecto_base_lift_bajo
Municipalidad de Providencia,Fondo Nacional de Salud,2849,2,4.44,candidato_sin_verificar
BPO Advisors SpA,Poder Judicial,2839,1,2.11,candidato_sin_verificar
Subsecretaría General de la Presidencia de la República,Subsecretaría de Telecomunicaciones,2837,1,4.65,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Municipalidad de Santiago,2833,3,5.58,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría de Justicia,2831,2,2.79,candidato_sin_verificar
Gendarmería de Chile,Superintendencia de Seguridad Social,2831,2,1.48,efecto_base_lift_bajo
ACEPTA.COM S.A.,Servicio de Salud Metropolitano Oriente,2827,1,1.5,confirmado_acepta
Servicio de Tesorerías,Municipalidad de Santiago,2821,1,2.73,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Municipalidad de Coquimbo,2818,1,4.64,candidato_sin_verificar
Poder Judicial,Municipalidad de San Clemente,2814,2,1.65,candidato_sin_verificar
ACEPTA.COM S.A.,Superintendencia de Educación Superior,2787,1,2.53,confirmado_acepta
Subsecretaría de Redes Asistenciales,Superintendencia de Educación Superior,2785,1,2.77,candidato_sin_verificar
Ministerio del Medio Ambiente,Subsecretaría de Redes Asistenciales,2781,1,1.68,candidato_sin_verificar
Servicio de Salud Metropolitano Sur Oriente,Superintendencia de Pensiones,2778,1,2.02,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Poder Judicial,2773,2,8.29,candidato_sin_verificar
Poder Judicial,Superintendencia de Casinos de Juego,2767,2,2.47,candidato_sin_verificar
ACEPTA.COM S.A.,Dirección General de Aguas,2762,2,1.4,confirmado_acepta
Servicio de Salud Maule,Superintendencia de Electricidad y Combustibles,2755,1,2.02,candidato_sin_verificar
Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol,Ministerio Público,2746,1,5.47,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de Coronel,2744,2,1.35,efecto_base_lift_bajo
Subsecretaría de Servicios Sociales,AFP Uno,2741,1,1.25,efecto_base_lift_bajo
Servicio Nacional del Consumidor,Junta Nacional de Jardines Infantiles,2735,1,1.48,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Subsecretaría de Economía y Empresas de Menor Tamaño,2730,2,2.36,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Corporación Nacional Forestal y de Protección de Recursos Naturales Renovables,2727,2,1.42,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Municipalidad de Quilicura,2723,3,2.07,candidato_sin_verificar
Superintendencia de Seguridad Social,AFP Uno,2722,2,2.17,candidato_sin_verificar
Servicio Agrícola y Ganadero,Dirección del Trabajo,2718,1,1.44,efecto_base_lift_bajo
Poder Judicial,Municipalidad de Coronel,2714,2,1.42,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Universidad de Santiago de Chile,2707,1,1.97,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría de Educación Parvularia,2706,1,1.38,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Municipalidad de Coronel,2703,1,1.21,efecto_base_lift_bajo
Subsecretaría General de la Presidencia de la República,Subsecretaría de Hacienda,2694,3,130.78,candidato_sin_verificar
Secretaría de Gobierno Digital,Servicio Nacional de Protección Especializada a la Niñez y Adolescencia,2693,2,24.08,candidato_sin_verificar
Subsecretaría del Interior,Fondo Nacional de Salud,2693,3,4.37,candidato_sin_verificar
Instituto Nacional de Estadísticas,Subsecretaría General de Gobierno,2692,2,5.63,candidato_sin_verificar
E-Sign S.A.,Poder Judicial,2691,1,2.08,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría General de la Presidencia de la República,2679,4,14.52,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Municipalidad de La Florida,2673,3,1.62,candidato_sin_verificar
Servicio de Evaluación Ambiental,Ministerio Público,2671,2,2.6,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Poder Judicial,2668,2,2.74,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Bienes Nacionales,2654,2,5.2,candidato_sin_verificar
Subsecretaría del Interior,Subsecretaría de Redes Asistenciales,2651,1,1.34,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Servicio de Salud Biobío,2648,1,1.29,efecto_base_lift_bajo
Instituto Nacional de Estadísticas,Subsecretaría de Servicios Sociales,2639,2,2.54,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Dirección de Vialidad,2636,1,1.32,efecto_base_lift_bajo
Dirección General de Movilización Nacional,Municipalidad de Peñalolén,2631,1,1.85,candidato_sin_verificar
Fondo Nacional de Salud,Municipalidad de Temuco,2617,2,2.68,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Instituto Nacional de Propiedad Industrial,2614,2,1.52,candidato_sin_verificar
Agencia de Calidad de la Educación,Ministerio de Educación,2612,1,17.04,candidato_sin_verificar
Poder Judicial,Unidad de Análisis Financiero,2612,2,2.59,candidato_sin_verificar
Secretaría de Gobierno Digital,Superintendencia de Insolvencia y Reemprendimiento,2609,2,1.66,candidato_sin_verificar
Subsecretaría de Justicia,Dirección de Previsión de Carabineros de Chile,2607,1,1.97,candidato_sin_verificar
Servicio de Impuestos Internos,AFP Cuprum,2599,1,2.67,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Consejo Nacional de Televisión,2589,1,1.67,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Servicio Nacional de la Mujer y la Equidad de Género,2585,1,1.65,candidato_sin_verificar
Servicio de Evaluación Ambiental,Fondo Nacional de Salud,2578,2,1.9,candidato_sin_verificar
BPO Advisors SpA,Municipalidad de Quilicura,2574,2,2.0,candidato_sin_verificar
Sanidad Naval de la Armada de Chile,Subsecretaría de Redes Asistenciales,2573,1,1.62,candidato_sin_verificar
Superintendencia de Pensiones,Subsecretaría de Previsión Social,2562,1,5.41,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Municipalidad de Vitacura,2561,1,1.29,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Ministerio Público,2555,2,2.2,candidato_sin_verificar
Municipalidad de Las Condes,Superintendencia de Pensiones,2555,1,1.94,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de San Clemente,2540,1,1.73,candidato_sin_verificar
Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol,Fondo Nacional de Salud,2534,2,23.92,candidato_sin_verificar
Subsecretaría de Transportes,Municipalidad de Quilicura,2534,2,2.91,candidato_sin_verificar
Servicio Nacional de Aduanas,Subsecretaría de Transportes,2520,1,2.56,candidato_sin_verificar
Contraloría General de la República,Presidencia de la República,2518,1,3.38,candidato_sin_verificar
Ministerio del Interior,Subsecretaría de Hacienda,2504,1,112.15,candidato_sin_verificar
Servicio de Salud Arica y Parinacota,Fondo Nacional de Salud,2500,2,2.16,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Municipalidad de Valdivia,2499,4,11.85,candidato_sin_verificar
Servicio de Salud Metropolitano Sur Oriente,Carabineros de Chile,2495,2,2.23,candidato_sin_verificar
Municipalidad de Las Condes,Secretaría de Gobierno Digital,2494,3,2.65,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional de la Discapacidad,2494,1,1.2,confirmado_acepta
Servicio Nacional del Consumidor,Dirección del Trabajo,2474,2,2.57,candidato_sin_verificar
Servicio Agrícola y Ganadero,Comisión para la Integridad Pública y Transparencia,2473,2,6.56,candidato_sin_verificar
Municipalidad de Santiago,Comisión para la Integridad Pública y Transparencia,2466,3,21.24,candidato_sin_verificar
Dirección del Trabajo,Municipalidad de Santiago,2466,1,1.55,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Dirección General de Aguas,2464,1,1.57,candidato_sin_verificar
Consejo Nacional de Televisión,Subsecretaría de Redes Asistenciales,2461,1,2.33,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Dirección General de Aeronáutica Civil,2461,1,1.87,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Ejército de Chile,2459,1,6.22,candidato_sin_verificar
Servicio Agrícola y Ganadero,Municipalidad de Lo Barnechea,2455,1,5.52,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Dirección de Educación Pública,2455,1,2.63,candidato_sin_verificar
Servicio de Impuestos Internos,Gendarmería de Chile,2452,1,2.63,candidato_sin_verificar
Gobierno Regional de la Región de Los Lagos,Subsecretaría de Evaluación Social,2449,1,1.65,artefacto_vus
Dirección Nacional del Servicio Civil,Servicio de Salud Coquimbo,2448,1,17.75,candidato_sin_verificar
ACEPTA.COM S.A.,Municipalidad de Temuco,2446,2,2.06,confirmado_acepta
Servicio de Salud Tarapacá,Contraloría General de la República,2445,2,12.93,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Municipalidad de Valdivia,2435,3,5.16,candidato_sin_verificar
Subsecretaría del Interior,Subsecretaría de Evaluación Social,2433,1,1.55,artefacto_vus
Servicio de Cooperación Técnica,Subsecretaría de Desarrollo Regional y Administrativo,2431,1,2.48,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Hacienda,2430,3,2.14,candidato_sin_verificar
Subsecretaría de Justicia,Servicio Nacional de Aduanas,2427,1,2.06,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Educación,2422,2,2.67,candidato_sin_verificar
Municipalidad de Maipú,Comisión para el Mercado Financiero,2416,1,1.52,candidato_sin_verificar
E-Sign S.A.,Subsecretaría de Bienes Nacionales,2416,1,1.52,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Municipalidad de Mulchén,2410,1,1.29,efecto_base_lift_bajo
Fondo Nacional de Salud,Superintendencia del Medio Ambiente,2407,2,1.62,candidato_sin_verificar
Municipalidad de La Florida,AFP Uno,2407,2,1.58,candidato_sin_verificar
Subsecretaría General de la Presidencia de la República,Subsecretaría de Educación,2405,2,11.22,candidato_sin_verificar
Servicio Nacional del Consumidor,Subsecretaría de Prevención del Delito,2405,1,2.17,candidato_sin_verificar
Contraloría General de la República,Subsecretaría de Bienes Nacionales,2395,3,5.27,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Dirección General del Crédito Prendario,2390,2,1.62,candidato_sin_verificar
Municipalidad de Las Condes,Municipalidad de Providencia,2384,1,5.78,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,AFP Uno,2384,2,2.44,candidato_sin_verificar
Municipalidad de Las Condes,Universidad de Chile,2383,1,3.26,candidato_sin_verificar
Servicio Electoral,Servicio Nacional del Consumidor,2378,1,1.8,candidato_sin_verificar
Corporación de Fomento de la Producción,Ministerio Público,2372,1,2.46,candidato_sin_verificar
Subsecretaría de Transportes,Poder Judicial,2359,1,2.53,candidato_sin_verificar
Poder Judicial,Servicio Nacional de la Mujer y la Equidad de Género,2338,1,2.85,candidato_sin_verificar
"Ministerio de las Culturas, las Artes y el Patrimonio",Comisión para la Integridad Pública y Transparencia,2331,1,6.5,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Servicio de Salud Tarapacá,2331,1,3.6,candidato_sin_verificar
BPO Advisors SpA,Agencia Nacional de Ciberseguridad,2327,1,3.43,candidato_sin_verificar
Instituto Nacional de Estadísticas,Servicio Nacional de Capacitación y Empleo,2327,2,3.24,candidato_sin_verificar
Servicio Agrícola y Ganadero,Carabineros de Chile,2327,2,1.55,candidato_sin_verificar
Junta Nacional de Jardines Infantiles,Subsecretaría de Justicia,2326,1,6.5,candidato_sin_verificar
Subsecretaría de Obras Públicas,E-Cert Chile,2326,1,2.43,candidato_sin_verificar
Subsecretaría de Justicia,Policía de Investigaciones de Chile,2323,1,2.09,candidato_sin_verificar
Superintendencia de Salud,Municipalidad de Peñalolén,2320,1,2.15,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Desarrollo Regional y Administrativo,2319,2,1.92,candidato_sin_verificar
Poder Judicial,Tribunal Calificador de Elecciones de Chile‎,2313,2,3.57,candidato_sin_verificar
Superintendencia de Salud,AFP Modelo,2306,1,2.68,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Unidad de Análisis Financiero,2304,2,7.13,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Subsecretaría de Bienes Nacionales,2299,1,2.86,candidato_sin_verificar
Comisión para el Mercado Financiero,Unidad de Análisis Financiero,2299,1,2.38,candidato_sin_verificar
Subsecretaría del Trabajo,Subsecretaría de Hacienda,2296,1,1.65,candidato_sin_verificar
Servicio de Salud Tarapacá,Fondo Nacional de Salud,2286,4,2.08,candidato_sin_verificar
Servicio de Evaluación Ambiental,Subsecretaría de Economía y Empresas de Menor Tamaño,2281,5,108.4,candidato_sin_verificar
Comisión para el Mercado Financiero,Superintendencia de Casinos de Juego,2281,1,2.22,candidato_sin_verificar
Carabineros de Chile,Municipalidad de Quilicura,2280,1,1.67,candidato_sin_verificar
Subsecretaría de Educación,Subsecretaría de Telecomunicaciones,2279,2,54.63,candidato_sin_verificar
Comisión para el Mercado Financiero,Fuerza Aérea de Chile,2276,1,2.18,candidato_sin_verificar
Subsecretaría de Salud Pública,Dirección Nacional del Servicio Civil,2266,1,10.94,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Agencia Nacional de Ciberseguridad,2265,1,4.69,candidato_sin_verificar
Contraloría General de la República,Subsecretaría de Educación,2264,1,7.62,candidato_sin_verificar
Contraloría General de la República,Dirección de Educación Pública,2258,1,7.81,candidato_sin_verificar
Subsecretaría de Educación,Subsecretaría de Salud Pública,2258,1,1.98,candidato_sin_verificar
Poder Judicial,Centro de Referencia de Salud de Peñalolén Cordillera Oriente,2249,2,1.45,efecto_base_lift_bajo
Subsecretaría de Transportes,Superintendencia de Electricidad y Combustibles,2248,1,9.32,candidato_sin_verificar
Superintendencia de Electricidad y Combustibles,AFP Uno,2244,1,1.41,efecto_base_lift_bajo
Dirección de Compras y Contratación Pública,Servicio Agrícola y Ganadero,2240,2,5.76,candidato_sin_verificar
Subsecretaría de Salud Pública,docdigital,2233,3,4.13,candidato_sin_verificar
Municipalidad de Valparaíso,Servicio de Cooperación Técnica,2230,1,4.04,candidato_sin_verificar
BPO Advisors SpA,Junta Nacional de Jardines Infantiles,2220,1,1.36,efecto_base_lift_bajo
Universidad de Santiago de Chile,Fondo Nacional de Salud,2215,2,1.85,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Municipalidad de Colina,2212,1,1.63,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Poder Judicial,2208,2,2.73,candidato_sin_verificar
Subsecretaría de Educación,Junta Nacional de Jardines Infantiles,2205,1,102.28,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Junta Nacional de Jardines Infantiles,2201,1,5.47,candidato_sin_verificar
Dirección del Trabajo,Municipalidad de Antofagasta,2201,1,1.35,efecto_base_lift_bajo
Subsecretaría de Redes Asistenciales,Municipalidad de Puente Alto,2195,1,1.65,candidato_sin_verificar
Corporación Nacional de Desarrollo Indígena,Servicio Nacional de Aduanas,2189,1,1.75,candidato_sin_verificar
Municipalidad de Las Condes,Comisión para la Integridad Pública y Transparencia,2179,1,5.76,candidato_sin_verificar
Subsecretaría de Salud Pública,Servicio Electoral,2177,1,1.6,candidato_sin_verificar
Municipalidad de Santiago,Carabineros de Chile,2176,1,2.35,candidato_sin_verificar
Servicio de Impuestos Internos,Municipalidad de Vitacura,2176,1,1.72,candidato_sin_verificar
Subsecretaría de Telecomunicaciones,Servicio de Impuestos Internos,2166,1,2.23,candidato_sin_verificar
Subsecretaría de Salud Pública,Secretaría de Gobierno Digital,2162,2,26.13,candidato_sin_verificar
Secretaría de Gobierno Digital,Servicio de Salud Metropolitano Oriente,2162,1,1.35,efecto_base_lift_bajo
Contraloría General de la República,Caja de Previsión de la Defensa Nacional,2151,2,2.78,candidato_sin_verificar
Agencia de Calidad de la Educación,Superintendencia de Seguridad Social,2144,2,2.51,candidato_sin_verificar
Servicio de Impuestos Internos,Tribunal Calificador de Elecciones de Chile‎,2141,2,1.69,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Servicio Nacional de Aduanas,2139,1,2.28,candidato_sin_verificar
Subsecretaría de Telecomunicaciones,Comisión para la Integridad Pública y Transparencia,2137,1,4.5,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Fondo de Solidaridad e Inversión Social,2135,1,2.95,candidato_sin_verificar
Instituto Nacional de Propiedad Industrial,Subsecretaría de Economía y Empresas de Menor Tamaño,2131,2,71.9,candidato_sin_verificar
"Ministerio de las Culturas, las Artes y el Patrimonio",Carabineros de Chile,2124,1,1.54,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Municipalidad de Peñalolén,2123,1,1.76,candidato_sin_verificar
Servicio de Evaluación Ambiental,Subsecretaría de Evaluación Social,2118,1,2.23,artefacto_vus
Ministerio Público,Corporación Nacional de Desarrollo Indígena,2116,1,1.41,efecto_base_lift_bajo
Subsecretaría de Transportes,Servicio Agrícola y Ganadero,2113,1,21.41,candidato_sin_verificar
Ministerio de Salud,Subsecretaría de Desarrollo Regional y Administrativo,2113,1,2.12,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Ministerio de Transportes y Telecomunicaciones,2103,2,2.41,candidato_sin_verificar
Consejo Nacional de Televisión,Subsecretaría de Transportes,2103,1,2.07,candidato_sin_verificar
Secretaría de Gobierno Digital,Superintendencia de Casinos de Juego,2099,1,1.44,efecto_base_lift_bajo
Instituto de Seguridad Laboral,Subsecretaría de Hacienda,2098,3,5.14,candidato_sin_verificar
Consejo de Defensa del Estado,Fondo Nacional de Salud,2096,2,1.76,candidato_sin_verificar
Subsecretaría de Salud Pública,BPO Advisors SpA,2090,1,2.17,candidato_sin_verificar
Servicio Nacional de la Discapacidad,Subsecretaría de Justicia,2085,1,2.44,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Economía y Empresas de Menor Tamaño,2084,1,1.5,efecto_base_lift_bajo
Subsecretaría del Trabajo,Poder Judicial,2078,1,1.7,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Servicio Nacional de Pesca y Acuicultura,2072,1,3.02,candidato_sin_verificar
Servicio Agrícola y Ganadero,Servicio de Salud Tarapacá,2070,1,1.96,candidato_sin_verificar
Contraloría General de la República,Consejo Nacional de Televisión,2066,1,2.46,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Certificadora del Sur,2066,2,1.41,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Municipalidad de Zapallar,2065,1,1.24,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Gobierno Regional de la Región de Coquimbo,2059,1,1.31,efecto_base_lift_bajo
"Ministerio de las Culturas, las Artes y el Patrimonio",Subsecretaría de Salud Pública,2053,1,1.82,candidato_sin_verificar
Municipalidad de Las Condes,Instituto de Seguridad Laboral,2051,1,1.79,candidato_sin_verificar
Subsecretaría de Desarrollo Regional y Administrativo,Subsecretaría de Economía y Empresas de Menor Tamaño,2033,1,2.37,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Economía y Empresas de Menor Tamaño,2030,1,1.69,candidato_sin_verificar
Servicio de Impuestos Internos,Subsecretaría de Educación Parvularia,2023,1,1.61,candidato_sin_verificar
Superintendencia del Medio Ambiente,Comisión para la Integridad Pública y Transparencia,2020,1,14.18,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Ministerio de Relaciones Exteriores,2019,1,1.3,efecto_base_lift_bajo
Servicio de Impuestos Internos,Secretaría de Gobierno Digital,2012,3,1.79,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Presidencia de la República,2006,1,3.67,candidato_sin_verificar
Instituto de Desarrollo Agropecuario,Ministerio Público,2006,1,1.94,candidato_sin_verificar
Contraloría General de la República,Junta Nacional de Jardines Infantiles,2001,2,6.31,candidato_sin_verificar
Ministerio del Medio Ambiente,Subsecretaría de Salud Pública,1999,1,2.22,candidato_sin_verificar
Servicio Electoral,Dirección Nacional del Servicio Civil,1997,1,20.4,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de Valdivia,1993,1,1.41,efecto_base_lift_bajo
Corporación Nacional de Desarrollo Indígena,Servicio Nacional del Consumidor,1991,1,2.1,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría del Deporte,1991,1,1.31,efecto_base_lift_bajo
Dirección del Trabajo,Municipalidad de Valdivia,1990,2,1.39,efecto_base_lift_bajo
Dirección Nacional del Servicio Civil,Caja de Previsión de la Defensa Nacional,1988,1,1.28,efecto_base_lift_bajo
Municipalidad de Temuco,Servicio de Salud Araucanía Sur,1986,2,34.68,candidato_sin_verificar
