institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
Servicio de Registro Civil e Identificación,Servicio Nacional de Aduanas,96481,4,1.32,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Subsecretaría de Redes Asistenciales,96430,3,2.11,candidato_sin_verificar
Dirección del Trabajo,AFP Uno,95521,3,2.2,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Fondo de Solidaridad e Inversión Social,94751,5,5.58,candidato_sin_verificar
Servicio Nacional del Consumidor,Subsecretaría de Redes Asistenciales,94209,1,2.0,candidato_sin_verificar
Servicio de Impuestos Internos,Corporación de Asistencia Judicial de la Región Metropolitana,94059,1,1.52,candidato_sin_verificar
Servicio de Impuestos Internos,Universidad de Chile,92947,1,1.44,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Servicio Electoral,92368,1,1.35,efecto_base_lift_bajo
E-Cert Chile,Subsecretaría de Redes Asistenciales,91940,1,1.35,efecto_base_lift_bajo
ACEPTA.COM S.A.,Dirección Nacional del Servicio Civil,91450,6,2.31,confirmado_acepta
Subsecretaría de Redes Asistenciales,Ministerio Público,91372,5,3.49,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Corporación de Asistencia Judicial de la Región Metropolitana,90830,1,1.72,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Servicios Sociales,90761,2,6.23,candidato_sin_verificar
ACEPTA.COM S.A.,Ministerio Público,90568,1,1.65,confirmado_acepta
Ministerio de Desarrollo Social y Familia,Comisión Administradora del Sistema de Créditos para Estudios Superiores,89446,3,1.57,candidato_sin_verificar
Servicio de Impuestos Internos,Fondo de Solidaridad e Inversión Social,88703,3,1.71,candidato_sin_verificar
Fondo Nacional de Salud,Fondo de Solidaridad e Inversión Social,88665,4,1.98,candidato_sin_verificar
Comisión para el Mercado Financiero,Carabineros de Chile,84760,1,1.78,candidato_sin_verificar
Fondo Nacional de Salud,Corporación de Asistencia Judicial de la Región Metropolitana,84066,1,1.62,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Servicio de Cooperación Técnica,83731,1,8.69,candidato_sin_verificar
Servicio de Impuestos Internos,Subsecretaría de Justicia,82480,6,2.4,candidato_sin_verificar
Comisión para el Mercado Financiero,AFP Uno,82093,2,1.73,candidato_sin_verificar
Poder Judicial,Contraloría General de la República,82068,5,3.09,candidato_sin_verificar
ACEPTA.COM S.A.,Dirección de Compras y Contratación Pública,81930,3,2.23,confirmado_acepta
Servicio de Cooperación Técnica,Subsecretaría de Evaluación Social,80642,2,9.49,artefacto_vus
Poder Judicial,Superintendencia de Pensiones,80401,1,1.55,candidato_sin_verificar
Subsecretaría de Servicios Sociales,Fondo Nacional de Salud,79996,3,2.09,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Subsecretaría de Evaluación Social,79751,2,2.3,artefacto_vus
Servicio de Salud Maule,Subsecretaría de Evaluación Social,79602,4,2.81,artefacto_vus
Servicio Agrícola y Ganadero,Subsecretaría de Salud Pública,79309,3,5.49,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Superintendencia de Educación,79089,1,1.32,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Subsecretaría de Telecomunicaciones,77954,1,1.25,efecto_base_lift_bajo
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Redes Asistenciales,77325,5,2.87,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Servicio Agrícola y Ganadero,76904,1,1.91,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Redes Asistenciales,76187,3,1.81,candidato_sin_verificar
Comisión para el Mercado Financiero,Contraloría General de la República,76040,1,1.99,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Carabineros de Chile,75839,5,2.63,candidato_sin_verificar
Subsecretaría de Educación,Subsecretaría de Redes Asistenciales,75434,6,3.38,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Gendarmería de Chile,74948,2,2.58,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Ministerio de Transportes y Telecomunicaciones,74719,1,1.28,efecto_base_lift_bajo
Subsecretaría de Redes Asistenciales,Subsecretaría de Salud Pública,74412,8,67.56,candidato_sin_verificar
Servicio de Impuestos Internos,Subsecretaría de Telecomunicaciones,74101,3,2.19,candidato_sin_verificar
Fondo Nacional de Salud,Comisión Administradora del Sistema de Créditos para Estudios Superiores,73508,1,1.6,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Superintendencia de Electricidad y Combustibles,73431,1,1.43,efecto_base_lift_bajo
Subsecretaría de Educación,Fondo Nacional de Salud,72632,7,29.92,candidato_sin_verificar
