institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
MUNICIPALIDAD DE PUNTA ARENAS,0.023386223975013182,58.662613981762924,,,1.3783783783784824,1.3783783783784824,44.37689969604863,0.018626734842952464,0.0,normal,0.11670081027779033,15.19756838905775,-0.024410021174692792,-1.2643660433994157,45.0397726447049,61.21080949004164,43.161094224924014,0.6086455762797959,0.0014401528678590616,normal,74,33809,2.3613125430667335e-06,50.26737967914438,0.0,49.19786096256685,0.49557266866896194,0.994816734542762
MUNICIPALIDAD DE MULCHEN,0.025130069668490154,62.91793313069909,,,0.9999999999999537,0.9999999999999537,2.2796352583586628,0.01639344262295006,0.0,normal,0.13441116501711706,73.25227963525836,-0.013100430755985493,-1.1786265362075867,33.47702102047562,48.59257915445257,34.954407294832826,0.5488036232864856,0.0018754448928935232,normal,61,32074,0.0,22.058823529411764,0.0,49.19786096256685,0.4847813040245792,1.0
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,0.02462807027597813,62.00607902735562,,,5.083333333333434,5.083333333333438,59.27051671732523,0.07060185185185325,0.0,normal,0.11467264676386542,10.33434650455927,-0.027345960767711078,-1.2939703881497169,43.90248929672137,59.22639845349993,41.94528875379939,0.6097567957877968,0.0013642257165746394,normal,72,31528,4.808659175306137e-05,64.70588235294117,0.0,49.19786096256685,0.49388129437316347,0.9424882629107981
DEFENSA CIVIL DE CHILE,0.024215666602801153,60.790273556231,,,1.000000000000112,1.000000000000112,36.474164133738604,0.015384615384617106,0.0,normal,0.12547067138611107,41.33738601823708,-0.019936613837967798,-1.2407317829284028,37.641682857135564,52.44346228912905,38.297872340425535,0.579102813186701,0.001652810783215805,normal,65,30420,0.0,22.058823529411764,0.0,49.19786096256685,0.4880513296841042,1.0
GOBIERNO REGIONAL DE LA REGION DE ARICA Y PARINACOTA,0.02390949167076068,60.182370820668694,,,1.171428571428685,1.171428571428684,41.03343465045592,0.016734693877552644,0.0,normal,0.11314548098174253,7.598784194528875,-0.029806477122080607,-1.2701139205900165,43.42405002651496,57.21086019975618,41.03343465045592,0.6203435718073566,0.001264188521625214,normal,70,30039,9.292568425427627e-07,47.32620320855615,0.0,49.19786096256685,0.4922014260249554,0.9975155279503105
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,0.02577632814673638,64.43768996960486,,,1.0999999999999168,1.099999999999917,38.60182370820669,0.018333333333331946,0.0,normal,0.13074680453075088,57.75075987841946,-0.017312436012276278,-1.2479909069981294,34.59915096742286,47.78912430592792,36.474164133738604,0.5766525161237143,0.0019454348917686012,normal,60,29148,4.6603423726805677e-07,46.25668449197861,0.0,49.19786096256685,0.483970632947615,0.9983050847457627
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,0.02460772325819352,61.702127659574465,,,1.0000000000001084,1.0000000000001084,36.17021276595745,0.015873015873017593,0.0,normal,0.12371780840467766,35.86626139817629,-0.02272492840999968,-1.2518625644439965,36.669994074886446,50.45678652011007,37.38601823708207,0.5820633980140706,0.001521185447877089,normal,63,27892,0.0,22.058823529411764,0.0,49.19786096256685,0.4864108210128971,1.0
MUNICIPALIDAD DE RENGO,0.02534578608217589,63.22188449848024,,,1.0000000000000628,1.0000000000000628,35.714285714285715,0.016949152542373946,0.0,normal,0.12883772700814244,52.88753799392097,-0.019778362848342584,-1.2915186235849405,33.3245318219244,46.53290749004925,34.34650455927052,0.5648225732529559,0.0016342446162165704,normal,59,27547,0.0,22.058823529411764,0.0,49.19786096256685,0.483162668618821,1.0
SUBSECRETARIA DE PESCA Y ACUICULTURA,0.023635640875611916,59.57446808510638,,,1.0857142857143987,1.0857142857143987,38.297872340425535,0.015510204081634267,0.0,normal,0.10970380473069796,1.82370820668693,-0.03324815337312517,-1.3413397334229746,44.189496836921684,57.212464916942274,42.24924012158054,0.6312785262417383,0.0011326219949384549,normal,70,26393,4.151592348204394e-07,45.72192513368984,0.0,49.19786096256685,0.4922014260249554,0.9987577639751553
MUNICIPALIDAD DE TORRES DEL PAINE,0.02600455047788946,65.34954407294833,,,0.9999999999999145,0.9999999999999145,1.0638297872340425,0.017543859649121307,0.0,normal,0.1339473461672489,71.42857142857143,-0.01581133119933309,-1.2225555808013948,31.98926910592215,44.69078110960239,33.73860182370821,0.5612152474723184,0.00204971728615368,normal,57,26319,0.0,22.058823529411764,0.0,49.19786096256685,0.48155480616085483,1.0
MUNICIPALIDAD DE ANGOL,0.02579607191236968,64.74164133738601,,,0.9999999999999145,0.9999999999999145,1.0638297872340425,0.017543859649121307,0.0,normal,0.1360751296818707,76.59574468085107,-0.013683547684711306,-1.173214889163905,31.17749844568088,44.69794591013424,32.82674772036474,0.5469736569417698,0.001886847834672058,normal,57,26078,0.0,22.058823529411764,0.0,49.19786096256685,0.48155480616085483,1.0
MINISTERIO DE VIVIENDA Y URBANISMO,0.02752837961129514,69.90881458966565,,,0.9999999999999625,0.9999999999999625,5.015197568389058,0.019607843137254166,0.0,normal,0.14085311510110046,83.89057750759878,-0.012590662672591846,-1.2150088840238076,27.66623312126346,38.798503070267145,26.443768996960486,0.54247515924046,0.0022311356786404533,normal,51,25563,0.0,22.058823529411764,0.0,49.19786096256685,0.47679479160242794,1.0
INSTITUTO NACIONAL DE DERECHOS HUMANOS,0.023225023787294123,57.446808510638306,,,1.0000000000000617,1.0000000000000617,35.1063829787234,0.01408450704225439,0.0,normal,0.11478531844773408,10.638297872340425,-0.02769667781562156,-1.319693976301329,43.401894979465204,58.14393059242664,40.72948328267477,0.6112942954854255,0.0012533322776636152,normal,71,24864,0.0,22.058823529411764,0.0,49.19786096256685,0.4930399293060882,1.0
